job,avgsalary
Developer mobile,90997
Data scientist or machine learning specialist,129199
Developer back-end,113479
Developer desktop or enterprise applications,120470
Developer full-stack,117210
Developer front-end,104564
Engineer data,119472
Academic researcher,87517
Scientist,118755
Student,53738
Database administrator,114303
Developer game or graphics,98917
Developer QA or test,110502
Developer embedded applications or devices,133912
DevOps specialist,133367
Data or business analyst,120219
Designer,113131
Engineering manager,171647
Engineer site reliability,152520
System administrator,107233
Other,148570
Product manager,122721
Educator,95918
Marketing or sales professional,119225
Senior Executive (C-Suite VP etc.),210370
