Country,Code,AvgSalary
Brazil,BRA,22340
Sweden,SWE,52259
Turkey,TUR,13294
United States,USA,281044
Italy,ITA,67870
Canada,CAN,214686
India,IND,27379
Netherlands,NLD,55290
Mexico,MEX,21790
United Kingdom,GBR,167940
France,FRA,55873
Spain,ESP,72645
Norway,NOR,193605
Switzerland,CHE,174407
Germany,DEU,66210
Austria,AUT,88579
Denmark,DNK,79154
Israel,ISR,100251
Belgium,BEL,44092
Poland,POL,27678
Japan,JPN,65103
Lithuania,LTU,86331
Portugal,PRT,30466
Australia,AUS,200172
Slovenia,SVN,73365
Ireland,IRL,145891
Finland,FIN,121313
New Zealand,NZL,588744
Russia,RUS,16500
Indonesia,IDN,7963
Hong Kong,HKG,60945
Malaysia,MYS,16505
Korea Republic of,KOR,70193
Thailand,THA,18466
Hungary,HUN,25999
Singapore,SGP,82580
Czech Republic,CZE,33233
South Africa,ZAF,57717
China,CHN,46726
Croatia,HRV,36562
Korea Democratic People's Republic of,PRK,30814
Greece,GRC,38097
Philippines,PHL,7253
Cambodia,KHM,15255
Armenia,ARM,831238
Bulgaria,BGR,35426
Latvia,LVA,50548
Serbia,SRB,229139
Slovakia,SVK,39452
Bangladesh,BGD,201776
Montenegro,MNE,17876
Luxembourg,LUX,64520
Kosovo,KWT,12575
Estonia,EST,51646
El Salvador,SLV,15200
Cyprus,CYP,69041
Panama,PAN,18300
Viet Nam,VNM,18000
Sri Lanka,LKA,12848
Romania,ROU,21401
Pakistan,PAK,205400
Cuba,CUB,8253
Uzbekistan,UZB,12564
Malta,MLT,258904
Ghana,GHA,6000
Ecuador,ECU,15255
Lebanon,LBN,17840
Republic of Moldova,MDA,24000
Taiwan,TWN,3316911
Palestine,PSE,11099
Burma,MMR,5349
Venezuela,VEN,2746
Iran (Islamic Republic of),IRN,10905
Zimbabwe,ZWE,9600
Mongolia,MNG,15480
Tajikistan,TJK,9600
United Arab Emirates,ARE,144000
Suriname,SUR,9600
Jamaica,JAM,37299
Uruguay,URY,60000
Belarus,BLR,23394
Turkmenistan,TKM,12000
Nepal,NPL,5879
Democratic Republic of the Congo,COD,90000
Iraq,IRQ,24000
Argentina,ARG,8400
Ukraine,UKR,19800
Nicaragua,NIC,12000
Saudi Arabia,SAU,120000
Andorra,AND,26198
