Job,Andorra,Argentina,Armenia,Australia,Austria,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,Cambodia,Canada,China,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Ecuador,El Salvador,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong (S.A.R.),Hungary,India,Indonesia,Iran, Islamic Republic of...,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Kosovo,Latvia,Lebanon,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Mongolia,Montenegro,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Norway,Pakistan,Palestine,Panama,Philippines,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Taiwan,Tajikistan,Thailand,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United States of America,Uruguay,Uzbekistan,Venezuela, Bolivarian Republic of...,Viet Nam,Zimbabwe
Academic researcher,0,0,0,76492,46233,0,0,42978,35239,0,0,39856,20965,0,0,0,34428,0,58776,0,0,0,27123,33794,85791,0,42750,52193,0,21511,0,0,0,0,90003,57857,0,49530,0,36986,0,36098,0,20960,0,41980,0,0,0,0,53178,0,0,61027,12000,0,0,0,17136,0,0,0,12511,14000,0,0,0,0,61644,0,31426,36223,0,0,44692,228609,3316911,0,0,12056,0,0,144000,158269,337673,0,0,0,0,0
Blockchain,27739,0,0,0,0,0,0,0,11972,0,10080,0,16809,0,0,0,0,0,0,0,0,0,0,59589,0,0,0,36074,86301,10564,0,24000,0,0,0,23116,0,0,0,0,0,28356,0,0,0,0,0,6780,0,0,102740,0,0,0,0,0,0,0,0,0,0,0,0,26285,0,0,0,0,0,0,23016,0,0,0,140543,73767,3316911,0,0,12894,0,0,144000,0,170000,0,0,0,0,0
Cloud infrastructure engineer,0,0,0,59416,66883,0,0,34109,23125,0,10000,131721,50372,23424,0,0,24892,0,93640,0,0,0,56507,50984,70749,0,84994,0,0,104656,0,0,0,0,166160,43855,0,28303,0,0,0,739728,0,13165,0,18405,0,0,0,0,56250,92242,0,79677,0,0,0,10458,39896,0,17705,0,0,18285,0,0,52214,44383,62671,20630,59017,51534,0,0,41600,0,3316911,0,0,15989,0,0,0,64660,388894,0,0,0,0,0
Data or business analyst,0,0,0,74478,77055,0,0,48082,28882,0,10000,47992,53230,19611,0,0,34807,0,79288,16800,0,30822,53938,29465,133433,0,50465,59868,0,15785,7654,0,0,0,132698,32414,0,288337,0,43150,0,0,0,0,0,19140,15480,0,0,0,66516,36897,0,137714,0,0,18000,5229,21714,98856,0,0,0,24634,0,0,398863,0,56507,24872,12172,38938,0,0,0,83938,3316911,9600,0,10775,0,0,144000,109829,279637,0,0,1040,0,0
Data scientist or machine learning specialist,24657,0,0,99599,55479,0,0,29849,13867,124498,0,37816,143441,0,0,0,32909,0,76434,18000,0,0,48791,88800,153023,0,75205,53728,0,31976,0,4020,0,0,112216,49751,0,205196,0,64109,0,36986,0,10480,0,58284,15480,0,0,0,54548,71026,0,243778,0,0,0,9412,0,0,49426,0,0,29650,0,0,0,0,61644,0,33433,47739,0,0,50408,67681,3316911,0,0,12035,0,0,0,387180,180934,0,0,0,0,13200
Database administrator,0,0,0,65852,65068,0,0,36986,24657,31518,10000,328736,133776,22335,0,0,25736,0,79413,16800,18000,27431,56507,41724,68973,0,44075,92105,19731,14944,5771,0,0,46233,90003,65948,0,148414,0,43150,0,739728,0,20960,0,14240,0,0,0,0,45000,81481,0,416291,0,10200,18000,5020,28603,83959,0,0,13262,18285,0,7397,69619,55479,124418,31820,35956,74616,0,0,42240,111229,3316911,0,0,12686,0,0,0,180811,213477,0,18000,1040,0,0
Designer,0,0,0,973859,67465,0,0,31438,18551,22062,0,64029,26895,31051,16027,0,51473,0,62712,0,0,0,61644,50274,48518,0,25082,92105,13590,19106,4592,3600,0,0,131544,70911,0,31487,0,0,24000,0,0,11790,0,14638,0,0,0,0,44319,33256,0,534608,0,0,18000,6275,22289,12328,17705,0,0,18857,0,0,82673,33287,22191,16197,33246,29923,0,0,60875,71004,3316911,0,0,9106,0,0,0,173792,483421,0,4200,0,0,0
DevOps specialist,0,0,0,80210,61438,343552,0,42698,38861,0,10000,92097,48701,24695,0,123288,34596,0,89487,0,15600,38219,50342,55517,122648,0,123288,0,0,36187,0,0,0,0,105581,75730,0,530681,0,43150,0,400686,0,11790,0,21437,15480,0,0,0,54901,92242,0,217220,0,0,21600,9935,36626,46233,39659,0,0,18251,0,0,66718,48390,50856,22704,26926,55479,0,0,52160,101302,3316911,0,0,10032,0,0,0,118969,225010,0,0,0,0,0
Developer QA or test,0,0,0,58431,61644,0,0,32054,40156,0,10000,66490,46506,16704,0,0,31643,0,74205,21600,0,36123,51370,47652,85929,0,23150,67544,0,12142,0,0,0,0,0,24143,0,22879,0,0,0,739728,0,13231,0,12270,0,0,0,0,37808,92242,0,346797,0,0,19800,7843,34010,0,0,0,0,17142,0,0,63818,55479,44863,38187,0,22345,0,0,50408,0,3316911,0,0,6125,0,0,0,77276,477818,0,0,0,0,0
Developer back-end,27739,0,0,397731,49734,201776,0,36295,26843,32286,11245,161255,48966,44829,8253,63185,32918,90000,83474,5820,15600,43381,50301,67480,59383,6000,72228,60209,28628,29290,3387,13800,0,84760,106987,66966,0,61842,13931,53630,14760,110080,80822,14235,258904,21175,0,12637,5349,0,60997,1167435,0,242270,302100,10200,18400,7286,29545,27172,31682,0,34394,16339,0,266302,67444,41609,71649,67728,98642,53953,0,9600,52733,161185,3316911,0,27685,10737,12000,0,0,157112,288974,60000,10350,2160,8400,12000
