ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
646, I am a developer by profession, Employed, full-time, Full in-person, Contribute to open-source projects;Bootstrapping a business;Freelance/contract work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp;Colleague, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Interactive tutorial;Coding sessions (live or recorded), Udemy;Pluralsight, 10, 6, Developer, front-end;Developer, full-stack;Developer, back-end, 20 to 99 employees, I have some influence, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Bangladesh, BDT	Bangladeshi taka, 60000, Monthly, Bash/Shell;HTML/CSS;JavaScript;PHP, Bash/Shell;HTML/CSS;JavaScript;PHP, MongoDB;MySQL, MongoDB;MySQL;PostgreSQL, Heroku, Heroku, Express;jQuery;Node.js;React.js;Vue.js, Express;jQuery;Node.js;React.js;Vue.js, NA, NA, Docker;npm, Kubernetes;npm, IntelliJ;PhpStorm;Webstorm, IntelliJ;PhpStorm;Webstorm, Windows, Windows, Git, Code editor;Command-line, , , Asana;Jira Work Management;Notion;Trello, Notion, Google Chat;Microsoft Teams;Slack, Google Chat;Slack, Favorable, Collectives on Stack Overflow;Stack Overflow, Daily or almost daily, Yes, Daily or almost daily, Yes, definitely, 25-34 years old, Man, No, Bisexual, Asian;Southeast Asian;South Asian, None of the above, None of the above, Yes, Independent contributor, 7, Agree, Disagree, Agree, Agree, Neither agree nor disagree, Agree, Neither agree nor disagree, 1-2 times a week, 1-2 times a week, 1-2 times a week, 30-60 minutes a day, 30-60 minutes a day, Somewhat long, Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Observability tools, Yes, Yes, Yes, Appropriate in length, Neither easy nor difficult, 8184, 
809, I am a developer by profession, Employed, full-time, Hybrid (some remote, some in-person), Hobby, Associate degree (A.A., A.S., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum), Technical documentation;Written Tutorials;Online books;Written-based Online Courses, NA, NA, NA, Developer, back-end, 20 to 99 employees, I have little or no influence, NA, Bangladesh, BDT	Bangladeshi taka, 38500, Monthly, Go;JavaScript;Rust, Go;Rust;TypeScript, MySQL;PostgreSQL, SQLite, AWS, AWS, Express;Node.js;React.js, React.js, Electron;React Native, React Native, Docker;npm, Docker, Android Studio;CLion;GoLand;IntelliJ;Neovim;Vim;Visual Studio Code;Webstorm, CLion;GoLand;IntelliJ;Neovim;Vim, macOS, Linux-based, Git, Command-line, , , Confluence, Confluence, Microsoft Teams;Slack;Zoom, Slack, Very unfavorable, NA, NA, NA, NA, NA, 18-24 years old, Man, No, NA, Southeast Asian, I am blind / have difficulty seeing, NA, Yes, Independent contributor, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Somewhat short, DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools, No, No, Yes, Too long, Neither easy nor difficult, 5256, 
825, I code primarily as a hobby, Student, full-time, NA, NA, Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification, Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses, Other, 3, NA, NA, NA, NA, Visit developer communities like Stack Overflow;Ask developers I know/work with, Bangladesh, NA, NA, NA, C;Elixir;JavaScript;Lua;TypeScript, C#;Dart;Elixir;Go;TypeScript, NA, NA, NA, NA, Node.js, ASP.NET;Node.js;Vue.js, .NET, .NET;Flutter, Yarn, Unity 3D;Yarn, Neovim;Visual Studio Code, Neovim;Rider;Visual Studio Code, , Linux-based;Windows;Windows Subsystem for Linux (WSL), Git, Command-line, , , NA, NA, NA, NA, Unsure, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, I have never participated in Q&A on Stack Overflow, No, not really, Under 18 years old, Man;Woman, No, Straight / Heterosexual, Asian;East Asian;Black;Southeast Asian;South Asian, None of the above, I have a concentration and/or memory disorder (e.g., ADHD, etc.), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
1126, I code primarily as a hobby, Student, full-time;Not employed, but looking for work, NA, NA, Some college/university study without earning a degree, Books / Physical media;Other online resources (e.g., videos, blogs, forum), Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online forum, NA, NA, NA, Developer, full-stack;Developer, desktop or enterprise applications;Student;Developer, mobile;Academic researcher;Project manager;Data or business analyst;Designer;Product manager, NA, NA, NA, Bangladesh, NA, NA, NA, HTML/CSS;Rust, HTML/CSS;Kotlin;Rust, NA, NA, NA, NA, Deno;Node.js;Svelte, Deno;Node.js;React.js;Svelte, NA, NA, NA, NA, Visual Studio;Visual Studio Code, Visual Studio Code, Windows, Windows, Git;Other (please specify):, Code editor;Command-line;Version control hosting service web GUI, , , NA, NA, NA, NA, Favorable, Collectives on Stack Overflow;Stack Overflow;Stack Exchange, Daily or almost daily, Yes, Less than once per month or monthly, Yes, somewhat, 18-24 years old, Man, No, Straight / Heterosexual, South Asian, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
1279, I am a developer by profession, Student, full-time, NA, NA, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Certification videos, Coursera;Other, 6, NA, NA, NA, NA, Visit developer communities like Stack Overflow;Ask developers I know/work with, Bangladesh, NA, NA, NA, Bash/Shell;C;C++;Go;Java;JavaScript;PowerShell;Python;Rust;TypeScript, Bash/Shell;Go;PowerShell;Python;Rust;TypeScript, MongoDB;MySQL;PostgreSQL;Redis, Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis, DigitalOcean;Google Cloud;Microsoft Azure, DigitalOcean;Google Cloud;Microsoft Azure, Django;Express;Node.js;Svelte;Vue.js, Svelte, NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch, Capacitor;Ionic;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch, Docker;Homebrew;Kubernetes;npm, Docker;Homebrew;Kubernetes;npm;Terraform, Atom;GoLand;IPython/Jupyter;Nano;Neovim;Visual Studio Code, GoLand;IPython/Jupyter;Nano;Neovim;Visual Studio Code, Linux-based, Linux-based, Git, Command-line, , , NA, NA, NA, NA, Very favorable, Collectives on Stack Overflow;Stack Overflow;Stack Exchange, Multiple times per day, Yes, A few times per week, Yes, definitely, 25-34 years old, Man, No, Straight / Heterosexual, South Asian, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Neither easy nor difficult, NA, 
1293, I am a developer by profession, Employed, full-time, Full in-person, Hobby, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum), Technical documentation;Blogs;Written Tutorials;Online books;Online challenges (e.g., daily or weekly coding challenges), NA, 10, 3, Developer, back-end, 100 to 499 employees, I have little or no influence, Visit developer communities like Stack Overflow;Ask developers I know/work with, Bangladesh, BDT	Bangladeshi taka, 988000, Yearly, Go;Python, Go;Python, PostgreSQL, Cassandra;DynamoDB;PostgreSQL;Redis, NA, NA, Django;FastAPI;Flask, Django;FastAPI, NA, NA, Docker;Kubernetes, Docker;Kubernetes, GoLand;IPython/Jupyter;Neovim;PyCharm;Visual Studio Code, CLion;GoLand;IPython/Jupyter;Neovim;PyCharm;Visual Studio Code, Linux-based, Linux-based, Git, Code editor;Command-line;Version control hosting service web GUI, , , Jira Work Management, NA, Google Chat, Slack, Indifferent, Stack Overflow;Stack Exchange, A few times per week, Yes, A few times per month or weekly, Neutral, 25-34 years old, Man, No, Straight / Heterosexual, South Asian, None of the above, None of the above, Yes, Independent contributor, 3, Strongly agree, Agree, Neither agree nor disagree, Neither agree nor disagree, Agree, Agree, Agree, 1-2 times a week, 3-5 times a week, 3-5 times a week, 30-60 minutes a day, 30-60 minutes a day, Somewhat long, DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Observability tools, Yes, Yes, Yes, Appropriate in length, Neither easy nor difficult, 11233, 
1403, I am a developer by profession, Independent contractor, freelancer, or self-employed;Employed, part-time, Fully remote, Contribute to open-source projects;Freelance/contract work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Friend or family member;Other online resources (e.g., videos, blogs, forum);On the job training;Colleague, Blogs;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);Online forum, NA, 16, 15, Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications, Just me - I am a freelancer, sole proprietor, etc., I have some influence, Start a free trial, Bangladesh, BDT	Bangladeshi taka, 200000, Monthly, C#;JavaScript;SQL;VBA, C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;VBA, Microsoft SQL Server;MySQL, Microsoft SQL Server;MySQL;Oracle, NA, NA, ASP.NET, ASP.NET;ASP.NET Core ;Blazor, .NET, .NET, NA, NA, Notepad++;Visual Studio, Notepad++;Visual Studio;Visual Studio Code, Linux-based;Windows, Windows, Git, Code editor, , , NA, NA, Microsoft Teams;Slack;Zoom, Microsoft Teams;Slack;Zoom, Very unfavorable, Stack Overflow;Stack Exchange, Multiple times per day, Yes, A few times per month or weekly, Yes, definitely, 35-44 years old, Man, No, NA, Asian;South Asian, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, 27288, 
1582, I am learning to code, Student, full-time, NA, NA, Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;How-to videos;Interactive tutorial, NA, 10, NA, NA, NA, NA, NA, Bangladesh, NA, NA, NA, Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Rust;TypeScript, C;C++;Rust;TypeScript, MySQL;SQLite, MongoDB;PostgreSQL;SQLite, NA, NA, jQuery;Laravel;Node.js;Vue.js, Deno;Nuxt.js;Vue.js, Electron, Flutter;GTK, npm;Yarn, Docker;Yarn, Sublime Text;Vim;Visual Studio Code, Neovim;Sublime Text;Vim;Visual Studio Code, Linux-based, Linux-based, Git, Command-line, , , NA, NA, Zoom, NA, Indifferent, Stack Overflow;Stack Exchange, A few times per month or weekly, Yes, Less than once per month or monthly, No, not at all, 18-24 years old, Man, No, Straight / Heterosexual, NA, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
2159, I am learning to code, Not employed, and not looking for work, NA, NA, Associate degree (A.A., A.S., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc), Blogs;Stack Overflow;Online books, NA, NA, NA, NA, NA, NA, Visit developer communities like Stack Overflow, Bangladesh, NA, NA, NA, C;C++;Python;R, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NetBeans;PyCharm;RStudio;Sublime Text, NA, , Windows, I don't use one, NA, , , NA, NA, NA, NA, Very favorable, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, I have never participated in Q&A on Stack Overflow, No, not at all, 18-24 years old, Man, No, Straight / Heterosexual, Asian, Prefer not to say, Prefer not to say, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
2809, I am a developer by profession, Independent contractor, freelancer, or self-employed, Fully remote, Hobby;Contribute to open-source projects;Freelance/contract work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification, Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Certification videos, Coursera;Codecademy;Udacity;Other, 2, 1, Student;Developer, mobile, 20 to 99 employees, I have little or no influence, Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Bangladesh, BDT	Bangladeshi taka, 17640, Weekly, Dart;Java;Kotlin, C++;Dart;Go;Kotlin;Rust;Swift, Cloud Firestore;MariaDB;MySQL;Firebase Realtime Database;SQLite, CouchDB;Cloud Firestore;MariaDB;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis;SQLite, Firebase, Firebase, Django, Django;FastAPI;Node.js;React.js, Flutter, Flutter;GTK, npm, Ansible;Docker;npm;Yarn, Android Studio;IntelliJ;Neovim;Vim;Visual Studio Code, Android Studio;IntelliJ;Neovim;Vim;Visual Studio Code;Xcode, macOS, macOS, Git, Code editor;Command-line;Dedicated version control GUI application, , , Asana, NA, Slack;Zoom, Slack, Indifferent, Stack Overflow;Stack Exchange, Multiple times per day, Yes, Less than once per month or monthly, Neutral, 18-24 years old, Man, No, Straight / Heterosexual, Indian;Middle Eastern;South Asian, None of the above, None of the above, Yes, Independent contributor, 1, Agree, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 10050, 
