ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
158, I am learning to code, Employed, full-time, Fully remote, Hobby, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Online Courses or Certification;Coding Bootcamp, NA, Udemy;edX, 1, NA, Designer, NA, NA, Other (please specify):;Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd, Chile, NA, NA, NA, HTML/CSS;JavaScript, HTML/CSS;JavaScript;Python;Swift;TypeScript, PostgreSQL, MongoDB;PostgreSQL, NA, NA, Node.js;React.js, Angular;Angular.js;Gatsby;Node.js;React.js;Svelte;Vue.js, NA, NA, NA, NA, Visual Studio Code, Visual Studio Code, macOS, macOS, Git, Command-line;Dedicated version control GUI application, , , NA, NA, NA, NA, Unsure, Stack Overflow;Stack Exchange, A few times per month or weekly, Yes, I have never participated in Q&A on Stack Overflow, No, not really, 25-34 years old, Woman, No, Bisexual, Hispanic or Latino/a, None of the above, I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder, Yes, Independent contributor, 4, Agree, Agree, Agree, Agree, Agree, Neither agree nor disagree, Agree, 1-2 times a week, 1-2 times a week, 1-2 times a week, 30-60 minutes a day, Less than 15 minutes a day, Somewhat short, Microservices;Continuous integration (CI) and (more often) continuous delivery, No, Yes, No, Appropriate in length, Easy, NA, 
689, I am a developer by profession, Independent contractor, freelancer, or self-employed, Fully remote, Other (please specify):, Professional degree (JD, MD, etc.), Other (please specify):, NA, NA, 37, 22, Developer, full-stack, Just me - I am a freelancer, sole proprietor, etc., I have little or no influence, Start a free trial;Visit developer communities like Stack Overflow, Chile, CLP	Chilean peso, NA, NA, HTML/CSS;JavaScript;PHP;Python;SQL, HTML/CSS;JavaScript;PHP;Python;SQL, MySQL, MySQL, NA, NA, jQuery, jQuery, NumPy;Pandas, NumPy;Pandas, NA, NA, Atom, PyCharm, Linux-based, Linux-based, Git, Code editor;Command-line, , , NA, NA, Zoom, Zoom, Unsure, Stack Overflow, A few times per month or weekly, Yes, I have never participated in Q&A on Stack Overflow, No, not really, 45-54 years old, Man, No, Straight / Heterosexual, South American, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
1675, I am a developer by profession, Employed, full-time, Fully remote, Hobby, Master’s degree (M.A., M.S., M.Eng., MBA, etc.), Books / Physical media;School (i.e., University, College, etc), NA, NA, 40, 31, Developer, full-stack, 100 to 499 employees, I have little or no influence, Other (please specify):, Chile, USD	United States dollar, 155000, Yearly, Bash/Shell;Clojure;HTML/CSS;SQL, Clojure, PostgreSQL, NA, DigitalOcean;Heroku;Linode, NA, NA, NA, NA, NA, NA, NA, Emacs, Emacs, Linux-based, Linux-based, Git, Code editor;Command-line;Version control hosting service web GUI, , , Confluence;Jira Work Management, NA, RingCentral;Slack;Zoom, NA, Very favorable, Stack Overflow, A few times per week, Not sure/can't remember, NA, No, not really, 45-54 years old, Or, in your own words:, Or, in your own words:, Straight / Heterosexual, European, None of the above, None of the above, No, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, 155000, 
1882, I code primarily as a hobby, Independent contractor, freelancer, or self-employed, Fully remote, Hobby;School or academic work, Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.), Other online resources (e.g., videos, blogs, forum), Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses, NA, 2, NA, Student, NA, NA, Start a free trial;Visit developer communities like Stack Overflow, Chile, NA, NA, NA, C#;Go;JavaScript;Python;Rust;TypeScript, C#;Go;JavaScript;Python;Ruby;Rust;SQL, MongoDB;MySQL, MongoDB;MySQL;PostgreSQL, Google Cloud, NA, React.js, Angular;ASP.NET Core ;Django;Next.js;Nuxt.js;React.js;Ruby on Rails;Svelte;Vue.js, .NET;Qt, React Native, Docker;npm;Yarn, Docker;npm;Yarn, CLion;GoLand;IntelliJ;Neovim;PyCharm;Visual Studio Code, CLion;IntelliJ;Neovim;PyCharm;RubyMine;Visual Studio Code, Linux-based, Linux-based;Windows, Git, Command-line, , , NA, NA, NA, NA, Favorable, Stack Overflow;Stack Exchange, Daily or almost daily, No, NA, No, not really, Under 18 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
2423, I am a developer by profession, Not employed, and not looking for work, NA, NA, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc), NA, NA, 15, NA, NA, NA, NA, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with, Chile, NA, NA, NA, C++, C++;Java;Python, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Vim, NA, Linux-based;Windows, macOS;Windows, NA, Command-line, , , NA, NA, Microsoft Teams;Zoom, NA, Favorable, Stack Overflow, Less than once per month or monthly, No, NA, No, not at all, 25-34 years old, Man, No, Straight / Heterosexual, European;Hispanic or Latino/a, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
3275, I am not primarily a developer, but I write code sometimes as part of my work, Employed, full-time, Hybrid (some remote, some in-person), Freelance/contract work, Master’s degree (M.A., M.S., M.Eng., MBA, etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc), Technical documentation;Blogs;Stack Overflow, NA, 20, 12, Senior Executive (C-Suite, VP, etc.), 100 to 499 employees, I have a great deal of influence, Start a free trial;Ask developers I know/work with;Research companies that have emailed me, Chile, USD	United States dollar, 150000, Yearly, JavaScript;PHP;SQL, JavaScript;Python;SQL, Microsoft SQL Server;MySQL, Cassandra;MariaDB;MongoDB;MySQL;PostgreSQL, AWS;DigitalOcean;Managed Hosting, AWS;DigitalOcean, jQuery, Express;Node.js;React.js, NA, NA, Docker, Docker;Kubernetes;npm;Terraform, Eclipse;Notepad++;Sublime Text;Visual Studio Code, Visual Studio Code, Linux-based;Windows, Linux-based;Windows, Git, Command-line, , , Confluence;Jira Work Management;Trello, Confluence;Jira Work Management;Stack Overflow for Teams, Google Chat;Slack;Zoom, Slack, Favorable, Stack Overflow, Daily or almost daily, Yes, A few times per month or weekly, Yes, somewhat, 35-44 years old, Man, No, Straight / Heterosexual, South American, None of the above, None of the above, No, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, 150000, 
3341, I am a developer by profession, Employed, full-time, Fully remote, Hobby, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Hackathons (virtual or in-person), Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online forum;Interactive tutorial, NA, 9, 4, Developer, QA or test;Engineering manager;DevOps specialist;Developer, embedded applications or devices;System administrator, 2 to 9 employees, I have a great deal of influence, Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Chile, CLP	Chilean peso, 1300000, Monthly, C;C++;Python;Rust, C;C++;Python;Rust, MongoDB, MongoDB, DigitalOcean, DigitalOcean, NA, NA, Apache Kafka;GTK;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch, NA, Docker, Docker, IPython/Jupyter;Vim;Visual Studio Code, Vim;Visual Studio Code, Linux-based, Linux-based, Git, Command-line, , , Confluence;Jira Work Management, Confluence;Jira Work Management, NA, NA, Very favorable, Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange, Daily or almost daily, Yes, Less than once per month or monthly, Neutral, 25-34 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a, None of the above, None of the above, Yes, People manager, 4, Strongly disagree, Disagree, Strongly disagree, Agree, Agree, Neither agree nor disagree, Neither agree nor disagree, 1-2 times a week, 10+ times a week, Never, Less than 15 minutes a day, 30-60 minutes a day, Somewhat short, Innersource initiative;DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery, Yes, No, Yes, Too long, Easy, 18792, 
3366, I am a developer by profession, Employed, full-time, Hybrid (some remote, some in-person), Hobby, Professional degree (JD, MD, etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc), Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded), NA, 10, 4, Developer, back-end;Engineering manager, 1,000 to 4,999 employees, I have some influence, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with, Chile, CLP	Chilean peso, 2500000, Monthly, Go;JavaScript;Python, Go;Java;Ruby, DynamoDB;PostgreSQL;SQLite, PostgreSQL;Redis;SQLite, AWS;DigitalOcean;Firebase;Google Cloud;Heroku, AWS;DigitalOcean, Django;FastAPI;Flask;Next.js;Node.js;React.js, Next.js;React.js, Electron;NumPy;Pandas;React Native, NumPy;Pandas;React Native, Docker;Homebrew;Kubernetes;npm;Yarn, Docker;Homebrew;Kubernetes;Yarn, GoLand;IntelliJ;IPython/Jupyter;PyCharm;Vim;Visual Studio Code, GoLand;IntelliJ;IPython/Jupyter;PyCharm;Visual Studio Code, macOS, macOS;Windows, Git, Command-line, , , ClickUp;monday.com, NA, Slack;Zoom, Slack;Zoom, Unfavorable, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, I have never participated in Q&A on Stack Overflow, No, not really, 25-34 years old, Man, No, Straight / Heterosexual, South American, None of the above, None of the above, Yes, People manager, 5, Agree, Agree, Disagree, Neither agree nor disagree, Disagree, Disagree, Agree, 1-2 times a week, 1-2 times a week, 1-2 times a week, 60-120 minutes a day, Over 120 minutes a day, Somewhat long, Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools, Yes, No, Yes, Appropriate in length, Easy, 36144, 
3503, I am a developer by profession, Student, full-time, NA, NA, Some college/university study without earning a degree, Books / Physical media;School (i.e., University, College, etc), NA, NA, 5, NA, NA, NA, NA, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with, Chile, NA, NA, NA, Assembly;Bash/Shell;C;C++;HTML/CSS;JavaScript;MATLAB;PowerShell;Python, Assembly;Bash/Shell;C++;Go;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;Rust;TypeScript, DynamoDB;MariaDB;MySQL;PostgreSQL;Redis;SQLite, MariaDB;PostgreSQL, AWS, NA, Django;FastAPI;Flask;jQuery;Node.js, FastAPI;Flask;Node.js;React.js;Vue.js, NumPy;Pandas, Electron;Qt;React Native, Docker;npm;Unreal Engine;Yarn, Docker;Kubernetes;npm;Unity 3D;Unreal Engine;Yarn, IPython/Jupyter;Neovim;Rider;Vim;Visual Studio;Visual Studio Code, Android Studio;Rider;Visual Studio;Visual Studio Code, Windows;Windows Subsystem for Linux (WSL), Windows;Windows Subsystem for Linux (WSL), Git, Command-line, , , Trello, Notion;Trello, Slack;Zoom, NA, Unfavorable, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, I have never participated in Q&A on Stack Overflow, No, not really, 18-24 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a;South American, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
8196, I used to be a developer by profession, but no longer am, Employed, full-time, Fully remote, Hobby, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media, NA, NA, 32, 15, Engineering manager, NA, NA, Start a free trial;Visit developer communities like Stack Overflow, Chile, NA, NA, NA, Clojure;Java;Kotlin;Python, Clojure;Elixir;Go;Kotlin;Python;Rust;TypeScript, NA, NA, NA, NA, NA, NA, NumPy;Pandas, Apache Kafka;Electron;NumPy;Pandas;React Native, Docker, NA, Emacs;IntelliJ;IPython/Jupyter;PyCharm;Visual Studio Code, Emacs;IntelliJ;PyCharm, Windows, Linux-based;Windows, Git, Command-line, , , Confluence;Notion, Confluence;Notion, Microsoft Teams;Symphony;Zoom, NA, Very unfavorable, Stack Overflow, A few times per month or weekly, Yes, Less than once per month or monthly, Yes, somewhat, 35-44 years old, Man, No, Bisexual, White;Hispanic or Latino/a;South American;Multiracial;Indigenous (such as Native American or Indigenous Australian), None of the above, None of the above, Yes, People manager, 22, Strongly agree, Agree, Strongly disagree, Strongly disagree, Neither agree nor disagree, Strongly agree, Strongly agree, 6-10 times a week, 10+ times a week, 10+ times a week, 30-60 minutes a day, Over 120 minutes a day, Very long, Innersource initiative;DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools, Yes, Yes, Yes, Appropriate in length, Easy, NA, 
10159, I used to be a developer by profession, but no longer am, Retired, NA, NA, Some college/university study without earning a degree, School (i.e., University, College, etc), NA, NA, 47, 30, NA, NA, NA, Other (please specify):, Chile, NA, NA, NA, C;LISP;Python, LISP;Python, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NetBeans;PyCharm, NetBeans;PyCharm, Linux-based, Linux-based, Git, Command-line, , , NA, NA, NA, NA, Very unfavorable, Stack Overflow;Stack Exchange, Multiple times per day, Yes, Multiple times per day, Yes, somewhat, 65 years or older, Man, No, Straight / Heterosexual, South American, None of the above, Prefer not to say, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
