ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
683, I am a developer by profession, Employed, full-time;Student, part-time, Full in-person, Hobby;Contribute to open-source projects, Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.), Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp, Technical documentation;Blogs;Online books;Online challenges (e.g., daily or weekly coding challenges), NA, 8, NA, Developer, full-stack;Developer, QA or test;Developer, mobile;Database administrator;Project manager, NA, NA, Start a free trial;Visit developer communities like Stack Overflow, Dominican Republic, NA, NA, NA, HTML/CSS;JavaScript;PHP;TypeScript, HTML/CSS;JavaScript;PHP;TypeScript, MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis, MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis, AWS;DigitalOcean;Firebase;Heroku, AWS;DigitalOcean;Firebase, Angular;Express;Laravel;Node.js;React.js;Vue.js, Express;Laravel;Node.js;React.js;Vue.js, React Native, React Native, Docker;npm;Yarn, Docker;npm;Yarn, Android Studio;NetBeans;PhpStorm;Visual Studio Code;Webstorm;Xcode, Visual Studio Code, macOS, Linux-based;macOS;Windows, Git, Command-line, , , Asana;Jira Work Management, Jira Work Management, Microsoft Teams;Slack;Zoom, Slack, Favorable, Stack Overflow, Multiple times per day, Yes, Multiple times per day, Yes, definitely, 18-24 years old, Man, No, Straight / Heterosexual, Caribbean;Central American, None of the above, None of the above, Yes, People manager, 3, Agree, Neither agree nor disagree, Agree, Strongly agree, Strongly agree, Agree, Neither agree nor disagree, Never, 6-10 times a week, 1-2 times a week, Less than 15 minutes a day, Less than 15 minutes a day, Somewhat long, DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery, Yes, Yes, Yes, Appropriate in length, Easy, NA, 
2466, I code primarily as a hobby, Student, part-time;Not employed, and not looking for work, NA, NA, Primary/elementary school, Other online resources (e.g., videos, blogs, forum);Coding Bootcamp;Other (please specify):, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses;Coding sessions (live or recorded), NA, 5, NA, NA, NA, NA, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with, Dominican Republic, NA, NA, NA, C;JavaScript;TypeScript, Bash/Shell;C;C++;JavaScript;Rust;TypeScript, MongoDB;PostgreSQL, MongoDB;PostgreSQL, NA, NA, Next.js;Node.js;React.js;Svelte, Node.js;React.js, NA, NA, Yarn, Yarn, Vim;Visual Studio Code, Vim;Visual Studio Code, , Linux-based;Windows, Git, Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application, , , NA, NA, Google Chat;Zoom, NA, Indifferent, Stack Overflow, A few times per month or weekly, Yes, I have never participated in Q&A on Stack Overflow, Neutral, Under 18 years old, Man;Or, in your own words:, No, Bisexual, Caribbean;Central American, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
2472, I am a developer by profession, Independent contractor, freelancer, or self-employed, Fully remote, Bootstrapping a business;School or academic work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;How-to videos;Written-based Online Courses, Udemy;Codecademy, 8, 6, Developer, full-stack;Product manager, 2 to 9 employees, I have a great deal of influence, Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Dominican Republic, DOP	Dominican peso, NA, NA, C#;SQL, C#;Python;SQL, Microsoft SQL Server, MariaDB;Microsoft SQL Server, NA, NA, ASP.NET;ASP.NET Core , ASP.NET Core ;Django;FastAPI, .NET, .NET, NA, NA, Visual Studio;Visual Studio Code, PyCharm;Rider;Visual Studio;Visual Studio Code, Windows, Linux-based;Windows, Git, Code editor;Command-line, , , Trello, Trello, NA, NA, Very unfavorable, Stack Overflow, A few times per week, No, NA, No, not really, 25-34 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a, None of the above, None of the above, Yes, Independent contributor, 6, NA, NA, NA, NA, NA, NA, NA, Never, 1-2 times a week, NA, 15-30 minutes a day, 15-30 minutes a day, Somewhat long, None of these, Yes, NA, Yes, Too long, Easy, NA, 
4750, I am learning to code, Not employed, but looking for work;Not employed, and not looking for work, NA, NA, Some college/university study without earning a degree, Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Other (please specify):, Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses;Other (Please specify):, Udemy, 2, NA, Developer, full-stack, NA, NA, Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd, Dominican Republic, NA, NA, NA, C#;Dart;HTML/CSS;Java;JavaScript;Kotlin, Assembly;C;C++;Dart, Microsoft SQL Server;MongoDB;MySQL;Redis, Cassandra;Couchbase;CouchDB;Cloud Firestore;DynamoDB;MariaDB, AWS;Google Cloud;Heroku, Heroku, Angular;ASP.NET;ASP.NET Core ;Next.js;React.js, NA, Flutter, Electron;Flutter;GTK;React Native;Uno Platform;Xamarin, Docker;npm, Kubernetes;npm;Yarn, Android Studio;IntelliJ;Visual Studio;Visual Studio Code, Android Studio;IntelliJ;Visual Studio;Visual Studio Code, , Linux-based;Windows;Windows Subsystem for Linux (WSL), Git, Code editor;Command-line;Version control hosting service web GUI, , , NA, NA, Microsoft Teams;Zoom, Slack, Favorable, Stack Overflow;Stack Exchange, Multiple times per day, Yes, I have never participated in Q&A on Stack Overflow, Yes, somewhat, 18-24 years old, Man, No, Straight / Heterosexual, Caribbean, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
9471, I am a developer by profession, Employed, full-time, Fully remote, Hobby;Bootstrapping a business, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification, NA, NA, 11, 7, Developer, front-end;Designer, 1,000 to 4,999 employees, I have little or no influence, Start a free trial;Ask developers I know/work with, Dominican Republic, DOP	Dominican peso, 3037, Monthly, Go;HTML/CSS;JavaScript;TypeScript, Go;TypeScript, PostgreSQL;SQLite, PostgreSQL;SQLite, AWS, AWS, ASP.NET Core ;Express;Laravel;Next.js;Node.js;React.js, Next.js;Node.js;React.js, NA, NA, Docker;npm;Yarn, Docker;npm;Yarn, Atom;Visual Studio Code, Visual Studio Code, macOS, macOS, Git, Command-line, , , Confluence;Jira Work Management;monday.com, NA, Microsoft Teams;Slack;Zoom, Slack, Favorable, Stack Overflow;Stack Exchange, A few times per week, Yes, A few times per month or weekly, Yes, somewhat, 25-34 years old, Man, No, Straight / Heterosexual, Caribbean;Hispanic or Latino/a, None of the above, None of the above, Yes, Independent contributor, 10, Strongly agree, Strongly disagree, Strongly agree, Strongly agree, Strongly agree, Strongly agree, Disagree, Never, Never, Never, 15-30 minutes a day, 15-30 minutes a day, Just right, DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery, NA, NA, NA, Appropriate in length, Easy, 660, 
11070, I am a developer by profession, Student, part-time;Independent contractor, freelancer, or self-employed, Hybrid (some remote, some in-person), Hobby;School or academic work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;How-to videos, Udemy;Pluralsight, 15, NA, Developer, front-end;Developer, full-stack;Developer, back-end;Developer, game or graphics;Project manager;Designer;Product manager, NA, NA, Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit, Dominican Republic, NA, NA, NA, C#;HTML/CSS;JavaScript;SQL, C#;C++;F#;Python, MySQL, Microsoft SQL Server;MySQL, Microsoft Azure, Microsoft Azure, ASP.NET Core ;Blazor, ASP.NET Core ;Blazor, .NET, .NET, NA, NA, Visual Studio;Visual Studio Code, Rider;Visual Studio;Visual Studio Code, Windows, Windows, Git, Code editor;Dedicated version control GUI application, , , NA, NA, Microsoft Teams, Microsoft Teams, Very favorable, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, I have never participated in Q&A on Stack Overflow, Neutral, 25-34 years old, Man, No, Gay or Lesbian, White;Hispanic or Latino/a;South American, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
11457, I am learning to code, Student, full-time, NA, NA, Something else, Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification, Technical documentation;Blogs;Video-based Online Courses;Online forum;Auditory material (e.g., podcasts);Interactive tutorial, Coursera;Udemy;Codecademy;edX;Other, Less than 1 year, NA, NA, NA, NA, Visit developer communities like Stack Overflow, Dominican Republic, NA, NA, NA, Python, C++;Haskell;Scala, Microsoft SQL Server, Cassandra;Cloud Firestore;DynamoDB, NA, NA, NA, NA, NumPy;Pandas, Apache Spark;Hadoop;Scikit-learn;TensorFlow, NA, NA, IPython/Jupyter;PyCharm;Visual Studio, PyCharm, Windows, Windows, Git, Version control hosting service web GUI, , , NA, NA, NA, NA, Very favorable, Collectives on Stack Overflow, Daily or almost daily, Yes, I have never participated in Q&A on Stack Overflow, Yes, somewhat, 18-24 years old, Man, No, Straight / Heterosexual, Caribbean;Hispanic or Latino/a, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Easy, NA, 
12755, I am a developer by profession, Employed, full-time;Independent contractor, freelancer, or self-employed, Fully remote, Bootstrapping a business, Master’s degree (M.A., M.S., M.Eng., MBA, etc.), Books / Physical media, NA, NA, 15, 7, Developer, full-stack;Project manager;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.);Blockchain, 10 to 19 employees, I have some influence, Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Dominican Republic, USD	United States dollar, 3200, Monthly, Bash/Shell;C#;Groovy;Java;JavaScript;Kotlin;Rust;Solidity;TypeScript, C#;Go;JavaScript;Rust;Solidity;TypeScript, DynamoDB;MongoDB;PostgreSQL;Redis, DynamoDB;MongoDB;PostgreSQL;Redis, AWS;Google Cloud;Microsoft Azure, AWS;Google Cloud;Microsoft Azure, ASP.NET Core ;Deno;Django;Gatsby;Node.js;React.js;Svelte, ASP.NET Core ;Deno;Django;Gatsby;Node.js;React.js;Svelte, .NET;Keras;React Native;TensorFlow, .NET;Keras;React Native;TensorFlow, Docker;npm;Pulumi;Yarn, Docker;npm;Pulumi;Yarn, Android Studio;Notepad++;Visual Studio Code, Android Studio;Notepad++;Visual Studio Code, Windows;Windows Subsystem for Linux (WSL), Windows;Windows Subsystem for Linux (WSL), Git, Code editor;Command-line, , , Airtable;ClickUp;Confluence;Jira Work Management;Microsoft Planner;Notion, ClickUp, Cisco Webex Teams;Microsoft Teams;Slack;Zoom, Slack;Zoom, Very favorable, Stack Overflow;Stack Exchange, Multiple times per day, Yes, I have never participated in Q&A on Stack Overflow, Yes, definitely, 25-34 years old, Man, No, Straight / Heterosexual, White, None of the above, None of the above, Yes, Independent contributor, 7, Agree, Neither agree nor disagree, Neither agree nor disagree, Agree, Agree, Strongly disagree, Strongly disagree, 6-10 times a week, Never, Never, 30-60 minutes a day, Less than 15 minutes a day, Just right, DevOps function;Continuous integration (CI) and (more often) continuous delivery;Observability tools, Yes, Yes, Yes, Too long, Neither easy nor difficult, 38400, 
14093, I am not primarily a developer, but I write code sometimes as part of my work, Employed, full-time, Full in-person, Hobby;Bootstrapping a business;Freelance/contract work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Online Courses or Certification, NA, edX;Skillsoft, 5, Less than 1 year, Student;Designer, 1,000 to 4,999 employees, I have little or no influence, Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Dominican Republic, DOP	Dominican peso, 42000, Monthly, C#;Python, Go;JavaScript;Python;SQL, NA, NA, NA, NA, Django, Django, .NET;Qt, .NET;Keras;NumPy;Pandas;Qt;Scikit-learn;TensorFlow;Torch/PyTorch, NA, NA, IPython/Jupyter;Qt Creator;Spyder;Visual Studio;Visual Studio Code, Android Studio;IPython/Jupyter;Qt Creator;Spyder;Visual Studio;Visual Studio Code, Windows, Windows, Git, Code editor;Version control hosting service web GUI;Dedicated version control GUI application, , , NA, NA, Microsoft Teams;Zoom, Microsoft Teams;Zoom, Favorable, Stack Overflow;Stack Exchange, A few times per week, No, NA, No, not really, 18-24 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a, None of the above, I have a concentration and/or memory disorder (e.g., ADHD, etc.), Yes, Independent contributor, 5, Strongly agree, Agree, Disagree, Agree, Agree, Agree, Neither agree nor disagree, 1-2 times a week, 10+ times a week, 1-2 times a week, Less than 15 minutes a day, Less than 15 minutes a day, Just right, DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Observability tools, No, Yes, Yes, Appropriate in length, Easy, 9132, 
15215, I code primarily as a hobby, Independent contractor, freelancer, or self-employed, Fully remote, Hobby;Freelance/contract work, Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.), Other online resources (e.g., videos, blogs, forum), Technical documentation;Stack Overflow;How-to videos;Coding sessions (live or recorded), NA, 2, NA, Developer, front-end;Developer, back-end;Student;Developer, mobile;Developer, game or graphics, NA, NA, NA, Dominican Republic, NA, NA, NA, Dart;HTML/CSS;Java;Rust, Dart;Rust, Cloud Firestore, Cloud Firestore;MongoDB, Firebase, Firebase, NA, NA, NA, NA, NA, NA, Android Studio;Emacs;IntelliJ;Vim;Visual Studio Code, Android Studio;Emacs;IntelliJ;Vim;Visual Studio Code, Linux-based, Linux-based, Git, Code editor;Command-line, , , NA, NA, NA, NA, NA, Stack Overflow, Multiple times per day, Yes, I have never participated in Q&A on Stack Overflow, Not sure, 18-24 years old, Man, No, Bisexual;Straight / Heterosexual, Caribbean, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
15480, I am learning to code, Student, full-time, NA, NA, Some college/university study without earning a degree, Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses, Coursera;Udemy;Codecademy;edX, 1, NA, NA, NA, NA, Start a free trial, Dominican Republic, NA, NA, NA, C#;HTML/CSS;Java;JavaScript, C;C++;Haskell;PHP;Python;Ruby;Scala;TypeScript, Microsoft SQL Server;MongoDB;MySQL;PostgreSQL, Neo4j;Oracle;SQLite, Heroku;Microsoft Azure, AWS;DigitalOcean;Firebase;Google Cloud, ASP.NET Core ;Express;jQuery;Node.js;React.js, Angular;Blazor;Deno;Django;Flask;Gatsby;Ruby on Rails;Symfony, .NET;Electron;Spring, Keras;NumPy;Pandas;Qt;React Native;Scikit-learn;TensorFlow, npm;Yarn, Docker, IntelliJ;NetBeans;Rider;Vim;Visual Studio;Visual Studio Code;Webstorm, CLion;GoLand;PhpStorm;PyCharm;Qt Creator;RubyMine;Spyder, macOS, Linux-based;Windows, Git, Command-line, , , Trello, NA, Microsoft Teams;Zoom, Slack, Indifferent, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, A few times per month or weekly, Yes, somewhat, 25-34 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a, I am blind / have difficulty seeing, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
16457, I am learning to code, Employed, full-time, Full in-person, School or academic work, Some college/university study without earning a degree, Books / Physical media;Online Courses or Certification, NA, Other, 1, NA, Other (please specify):, NA, NA, Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Dominican Republic, NA, NA, NA, C#;HTML/CSS;JavaScript, C#;HTML/CSS;JavaScript, NA, NA, NA, NA, NA, NA, .NET, .NET, npm, npm, Visual Studio;Visual Studio Code, Visual Studio;Visual Studio Code, , Windows, Git, Command-line, , , NA, NA, NA, NA, Favorable, Stack Overflow, Multiple times per day, Yes, I have never participated in Q&A on Stack Overflow, No, not at all, 25-34 years old, Man, No, Straight / Heterosexual, Central American, None of the above, I have a concentration and/or memory disorder (e.g., ADHD, etc.), No, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Neither easy nor difficult, NA, 
