ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
3183, I am learning to code, Student, full-time, NA, NA, Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.), Other online resources (e.g., videos, blogs, forum), Blogs;Written Tutorials;Stack Overflow;How-to videos, NA, 2, NA, NA, NA, NA, Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd, Bolivia, NA, NA, NA, JavaScript, Rust, PostgreSQL, PostgreSQL, NA, NA, Django;Vue.js, FastAPI, NA, NA, NA, NA, Visual Studio Code, Atom;Vim, Linux-based, Linux-based, Git, Command-line, , , NA, NA, NA, NA, Very favorable, NA, Less than once per month or monthly, Yes, Less than once per month or monthly, Yes, somewhat, 35-44 years old, Man, NA, NA, South American, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Too short, Neither easy nor difficult, NA, 
9904, I am a developer by profession, Employed, full-time, Full in-person, Hobby, Professional degree (JD, MD, etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc), Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online forum, NA, 8, 3, Developer, full-stack, 20 to 99 employees, I have little or no influence, Other (please specify):, Bolivia, BOB	Bolivian boliviano, NA, Monthly, HTML/CSS;Java;JavaScript;SQL;TypeScript, Java, PostgreSQL, PostgreSQL, NA, NA, Node.js;Nuxt.js;Vue.js, Nuxt.js;Vue.js, NA, NA, npm, Yarn, Visual Studio Code, Vim;Visual Studio Code, Linux-based, Linux-based, Git, Code editor;Command-line, , , NA, NA, NA, NA, Indifferent, Stack Overflow, Daily or almost daily, Yes, Less than once per month or monthly, Yes, somewhat, 35-44 years old, Man, No, Straight / Heterosexual, South American, None of the above, None of the above, No, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Neither easy nor difficult, NA, 
10948, I am a developer by profession, Employed, full-time, Fully remote, Hobby;Contribute to open-source projects;Freelance/contract work, Master’s degree (M.A., M.S., M.Eng., MBA, etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Coding Bootcamp, Technical documentation;Blogs;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded);Certification videos, Udemy;Codecademy;Pluralsight, 12, 8, Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile, 100 to 499 employees, I have some influence, Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Research companies that have emailed me, Bolivia, USD	United States dollar, 2000, Monthly, C#;C++;Dart;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;Ruby;SAS;SQL;Swift;TypeScript;VBA, Python;Rust;Scala;Solidity, Cloud Firestore;DynamoDB;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Firebase Realtime Database;SQLite, Cassandra;Couchbase;CouchDB;IBM DB2;Neo4j;Redis, AWS;DigitalOcean;Firebase;Google Cloud;Heroku;Microsoft Azure, Oracle Cloud Infrastructure;OpenStack, Angular.js;ASP.NET;ASP.NET Core ;Express;jQuery;Laravel;Next.js;Node.js;React.js;Ruby on Rails;Symfony, Vue.js, Apache Kafka;Cordova;Flutter;Ionic;React Native;Spring;Xamarin, Apache Spark;Electron;GTK, Chef;Docker;Homebrew;Kubernetes;npm;Yarn, Unity 3D;Unreal Engine, Android Studio;Eclipse;IntelliJ;NetBeans;Notepad++;PhpStorm;PyCharm;RubyMine;Sublime Text;TextMate;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode, Rider;RStudio, BSD, Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL), Git;SVN, Code editor;Command-line;Version control hosting service web GUI, , , Asana;ClickUp;Confluence;Jira Work Management;Swit;Trello, Microsoft Planner, Cisco Webex Teams;Google Chat;Microsoft Teams;Slack;Wire;Zoom, Coolfire Core, Very favorable, Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange, Multiple times per day, Yes, A few times per month or weekly, Yes, definitely, 35-44 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a, None of the above, None of the above, Yes, Independent contributor, 15, Agree, Agree, Agree, Agree, Agree, Agree, Neither agree nor disagree, 1-2 times a week, 1-2 times a week, 1-2 times a week, 30-60 minutes a day, 15-30 minutes a day, Just right, DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery, No, Yes, Yes, Too long, Neither easy nor difficult, 24000, 
11244, I am learning to code, Student, full-time;Not employed, but looking for work, NA, NA, Some college/university study without earning a degree, Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification, Technical documentation;Stack Overflow;Video-based Online Courses;How-to videos, Udemy;Other, 3, NA, Student, NA, NA, Start a free trial, Bolivia, NA, NA, NA, C#;HTML/CSS;Java;JavaScript;Kotlin;SQL, C#;HTML/CSS;Java;Kotlin;Ruby;SQL, Microsoft SQL Server, Microsoft SQL Server;MongoDB;MySQL;Oracle;Redis, NA, NA, ASP.NET;Django;React.js, ASP.NET;ASP.NET Core ;Django;Svelte, React Native, Spring, NA, NA, IntelliJ;PyCharm;Rider;Visual Studio;Visual Studio Code;Webstorm, IntelliJ;IPython/Jupyter;PyCharm;Rider;RubyMine;Visual Studio Code;Webstorm, , Windows, Git, Dedicated version control GUI application, , , Notion, Notion, Microsoft Teams;Zoom, Microsoft Teams, Indifferent, Stack Overflow, A few times per month or weekly, Yes, I have never participated in Q&A on Stack Overflow, Neutral, 18-24 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
11948, I am a developer by profession, Not employed, but looking for work, NA, NA, Something else, Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Coding sessions (live or recorded), Other, 4, NA, Developer, full-stack, NA, NA, Start a free trial;Ask developers I know/work with, Bolivia, NA, NA, NA, C#;HTML/CSS;JavaScript;Python;SQL;TypeScript, Dart;Go;Python;Rust, MariaDB;Microsoft SQL Server;MongoDB;SQLite, PostgreSQL;Firebase Realtime Database;Redis, Heroku, AWS;Microsoft Azure, Express;Next.js;Node.js;React.js, Angular.js;Deno;Django;Nuxt.js;React.js;Svelte;Vue.js, NA, NA, Docker;npm, Docker;Kubernetes;npm, Neovim;Visual Studio Code, Neovim;Visual Studio Code, Linux-based, Linux-based, Git, Code editor;Command-line, , , Notion, Notion, NA, NA, Favorable, Stack Overflow;Stack Exchange, Multiple times per day, Yes, Less than once per month or monthly, Neutral, 18-24 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a, None of the above, Prefer not to say, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Too long, Neither easy nor difficult, NA, 
13337, I am a developer by profession, Employed, full-time, Hybrid (some remote, some in-person), Hobby, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum), Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books, NA, 12, 11, Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;Developer, embedded applications or devices;Designer, 10 to 19 employees, I have a great deal of influence, Start a free trial;Ask developers I know/work with, Bolivia, BOB	Bolivian boliviano, 7000, Monthly, Bash/Shell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript;VBA, C#;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;Swift;TypeScript, MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite, MariaDB;Microsoft SQL Server;MySQL;Oracle;Firebase Realtime Database;SQLite, NA, NA, Angular;jQuery;Laravel;Node.js, Angular;Django;Flask;Laravel;Node.js;React.js;Vue.js, .NET;Cordova;Ionic;Keras;NumPy;Pandas;Qt;React Native;TensorFlow, .NET;Flutter;Keras;NumPy;Pandas;Qt;React Native;TensorFlow, npm, Homebrew;npm, Android Studio;Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;PhpStorm;PyCharm;Qt Creator;Spyder;Sublime Text;Visual Studio;Visual Studio Code;Webstorm;Xcode, Android Studio;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;PhpStorm;PyCharm;Qt Creator;Spyder;Sublime Text;Visual Studio;Visual Studio Code;Webstorm;Xcode, Linux-based;macOS, Linux-based;macOS;Windows, Git, Command-line, , , NA, NA, Cisco Webex Teams;Zoom, Cisco Webex Teams;Zoom, Indifferent, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, Multiple times per day, Yes, definitely, 25-34 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a;South American, NA, NA, Yes, Independent contributor, 11, Neither agree nor disagree, Neither agree nor disagree, Neither agree nor disagree, Strongly agree, Agree, Neither agree nor disagree, Strongly agree, Never, 1-2 times a week, Never, 15-30 minutes a day, 60-120 minutes a day, Somewhat short, DevOps function;Microservices, Yes, No, Yes, Too long, Easy, 12216, 
13520, I am a developer by profession, Employed, full-time, Full in-person, I don’t code outside of work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training, Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online forum;Coding sessions (live or recorded), NA, 11, 6, Developer, desktop or enterprise applications;Developer, mobile;Database administrator;System administrator, 100 to 499 employees, I have some influence, Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit, Bolivia, BOB	Bolivian boliviano, 4000, Monthly, Delphi;Java;JavaScript, Delphi;JavaScript;Kotlin;Swift, Oracle, Oracle;PostgreSQL, Google Cloud;Heroku;Managed Hosting, Google Cloud;Managed Hosting, NA, NA, NA, NA, NA, NA, Eclipse;Notepad++;RAD Studio (Delphi, C++ Builder);Visual Studio Code, Notepad++;RAD Studio (Delphi, C++ Builder);Visual Studio Code, Windows, Windows, Git, Command-line;Version control hosting service web GUI, , , Confluence;Trello, Confluence, Microsoft Teams;Slack;Zoom, Slack, Indifferent, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, A few times per month or weekly, No, not really, 25-34 years old, Man, No, NA, Hispanic or Latino/a, None of the above, I have an anxiety disorder, Yes, Independent contributor, 5, Strongly agree, Strongly agree, Disagree, Agree, Strongly agree, Strongly agree, Agree, 3-5 times a week, 10+ times a week, 1-2 times a week, 60-120 minutes a day, 30-60 minutes a day, Very long, Microservices;Continuous integration (CI) and (more often) continuous delivery, Yes, Yes, Yes, Appropriate in length, Easy, 6984, 
15224, I am not primarily a developer, but I write code sometimes as part of my work, Independent contractor, freelancer, or self-employed, Full in-person, Hobby;Bootstrapping a business, Some college/university study without earning a degree, Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);Colleague, Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded), NA, 6, 2, Developer, back-end;Academic researcher;Developer, embedded applications or devices;System administrator, Just me - I am a freelancer, sole proprietor, etc., I have a great deal of influence, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Bolivia, EUR European Euro, 1000, Monthly, Python;Rust, Python;Rust, Redis, NA, NA, NA, NA, NA, Pandas, NA, Docker, NA, Vim, Vim, Linux-based, Linux-based, Git, Command-line, , , NA, NA, NA, NA, Favorable, Stack Overflow;Stack Exchange, A few times per month or weekly, Not sure/can't remember, NA, No, not really, 25-34 years old, Man, No, NA, European;South American, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, 12792, 
21218, I am a developer by profession, Student, part-time;Employed, part-time, Fully remote, School or academic work, Some college/university study without earning a degree, Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Colleague;Other (please specify):, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online forum;How-to videos;Interactive tutorial, Coursera;Udemy;edX, 6, NA, Developer, full-stack;Student;Developer, mobile;Developer, game or graphics, NA, NA, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Bolivia, NA, NA, NA, Bash/Shell;C#;Haskell;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;SQL, Bash/Shell;C#;Clojure;F#;Haskell;Kotlin;OCaml;Python;R;Scala;Swift, MySQL;PostgreSQL, MongoDB;PostgreSQL;Redis;SQLite, Firebase;Heroku;VMware, DigitalOcean;Google Cloud;Heroku;OpenStack, React.js, FastAPI;React.js, .NET;NumPy;Pandas;Spring, .NET, npm;Unity 3D, Docker;npm;Unity 3D;Unreal Engine;Yarn, Android Studio;Eclipse;IntelliJ;Sublime Text;Visual Studio Code, Android Studio;Eclipse;Sublime Text;Visual Studio Code, Windows, Linux-based;Windows, Git, Code editor;Command-line, , , Confluence;Jira Work Management;Trello, Notion;Trello, Zoom, Cisco Webex Teams;Slack, Indifferent, Collectives on Stack Overflow;Stack Overflow;Stack Exchange, A few times per week, Yes, Less than once per month or monthly, Neutral, 18-24 years old, Man, No, Straight / Heterosexual, Hispanic or Latino/a, NA, Prefer not to say, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Neither easy nor difficult, NA, 
22435, I am a developer by profession, Employed, full-time;Independent contractor, freelancer, or self-employed, Fully remote, Hobby;Contribute to open-source projects;Freelance/contract work, Some college/university study without earning a degree, Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Hackathons (virtual or in-person), Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Auditory material (e.g., podcasts);Interactive tutorial;Coding sessions (live or recorded);Certification videos, Coursera;Udemy;Codecademy;edX, 8, 4, Developer, full-stack;DevOps specialist;Developer, game or graphics;Cloud infrastructure engineer;System administrator, 1,000 to 4,999 employees, I have some influence, Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Research companies that have emailed me, Bolivia, BOB	Bolivian boliviano, 3800, Monthly, Bash/Shell;C#;C++;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript, Bash/Shell;C#;Go;HTML/CSS;JavaScript;Lua;Python;Rust;Solidity;TypeScript, MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite, MongoDB;PostgreSQL;Redis, AWS;Heroku;Microsoft Azure, AWS;DigitalOcean;Google Cloud;Heroku;Microsoft Azure, Blazor;Django;Flask;Node.js;React.js, ASP.NET Core ;Deno;Node.js;React.js, Electron;React Native;Xamarin, NA, Docker;Kubernetes;npm;Unity 3D;Yarn, Docker;Kubernetes;npm;Terraform;Unity 3D;Unreal Engine;Yarn, Neovim;Vim, Neovim;Vim, Linux-based;Windows, Linux-based, Git, Code editor;Command-line, , , Notion;Trello, Trello, Microsoft Teams;Zoom, Microsoft Teams;Zoom, Very favorable, Stack Overflow, A few times per month or weekly, Yes, A few times per month or weekly, Yes, somewhat, 18-24 years old, Man, No, Straight / Heterosexual, South American, None of the above, None of the above, Yes, Independent contributor, 8, Strongly agree, Neither agree nor disagree, Agree, Agree, Agree, Agree, Agree, 3-5 times a week, 6-10 times a week, 3-5 times a week, 15-30 minutes a day, 30-60 minutes a day, Somewhat short, DevOps function, Yes, Yes, No, Appropriate in length, Easy, 6636, 
28881, I am learning to code, Student, full-time, NA, NA, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded);Certification videos, Udemy, 1, NA, NA, NA, NA, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with, Bolivia, NA, NA, NA, C#;Dart;HTML/CSS;PHP;SQL;VBA, JavaScript;Kotlin;PHP;Python;R;SQL;TypeScript, MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL, MariaDB;MySQL;PostgreSQL;SQLite, Firebase, NA, jQuery;Laravel, jQuery;Laravel;React.js;Ruby on Rails;Vue.js, .NET;Flutter;NumPy, Flutter;React Native, npm;Unity 3D, Docker;Homebrew;npm;Unity 3D;Unreal Engine, Android Studio;Eclipse;IntelliJ;Nano;NetBeans;Notepad++;PyCharm;Sublime Text;Visual Studio;Visual Studio Code, Notepad++;PhpStorm;Vim;Visual Studio;Visual Studio Code, Windows, Windows;Windows Subsystem for Linux (WSL), Git, Code editor;Command-line, , , Jira Work Management;Trello, Jira Work Management;Trello, Zoom, Zoom, Indifferent, Stack Overflow;Stack Exchange, A few times per month or weekly, Yes, I have never participated in Q&A on Stack Overflow, Yes, somewhat, 18-24 years old, Man, No, Straight / Heterosexual, White;Hispanic or Latino/a;Multiracial;Biracial, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Neither easy nor difficult, NA, 
