ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
3189, I am a developer by profession, Employed, full-time, Full in-person, Hobby, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Online Courses or Certification, NA, Udemy, 8, 8, Developer, full-stack, 2 to 9 employees, I have some influence, Start a free trial;Visit developer communities like Stack Overflow, Malaysia, MYR	Malaysian ringgit, 5000, Monthly, C#;Dart;HTML/CSS;JavaScript;SQL;TypeScript, NA, Microsoft SQL Server, NA, Microsoft Azure, AWS, ASP.NET;ASP.NET Core ;Next.js, NA, .NET;Capacitor;Cordova, NA, Docker;npm, NA, Android Studio;Notepad++;Visual Studio;Visual Studio Code, NA, , Windows, Git, Code editor;Command-line, , , Trello, NA, Zoom, NA, Favorable, Stack Overflow;Stack Exchange, A few times per month or weekly, Yes, Less than once per month or monthly, Neutral, 25-34 years old, Man, No, Straight / Heterosexual, Asian;Southeast Asian, I am deaf / hard of hearing, NA, Yes, Independent contributor, 8, Neither agree nor disagree, Neither agree nor disagree, Neither agree nor disagree, Neither agree nor disagree, Neither agree nor disagree, Neither agree nor disagree, Neither agree nor disagree, 1-2 times a week, 1-2 times a week, 1-2 times a week, 30-60 minutes a day, 15-30 minutes a day, Somewhat long, None of these, Yes, No, No, Appropriate in length, Neither easy nor difficult, 13668, 
3245, I am learning to code, Student, full-time;Independent contractor, freelancer, or self-employed, Hybrid (some remote, some in-person), Hobby, Associate degree (A.A., A.S., etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc), Technical documentation;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses, NA, 3, NA, Student, NA, NA, Start a free trial, Malaysia, NA, NA, NA, C;HTML/CSS;JavaScript;Python, C;C++;Java;JavaScript;Python, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, PyCharm;Visual Studio Code;Xcode, PyCharm;Visual Studio Code;Xcode, macOS, macOS, I don't use one, NA, , , Notion, Notion, Microsoft Teams, Microsoft Teams;Slack;Zoom, Indifferent, Stack Overflow, Daily or almost daily, Yes, I have never participated in Q&A on Stack Overflow, Yes, somewhat, 18-24 years old, Man, No, Gay or Lesbian, Asian, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
3420, I am a developer by profession, Employed, full-time, Full in-person, Hobby, Master’s degree (M.A., M.S., M.Eng., MBA, etc.), Books / Physical media;Friend or family member;School (i.e., University, College, etc);On the job training;Online Courses or Certification, NA, Pluralsight;Other, 18, 9, Developer, back-end, 500 to 999 employees, I have some influence, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with, Malaysia, MYR	Malaysian ringgit, 14200, Monthly, C#;Groovy;HTML/CSS;Java;JavaScript;SQL;TypeScript, C#;F#;Rust;TypeScript, MySQL;SQLite, MongoDB;MySQL;Redis, NA, NA, ASP.NET Core ;Express;Node.js;React.js, ASP.NET Core ;Svelte, .NET;Spring, .NET, Docker;Kubernetes;npm;Yarn, Docker;Kubernetes;Terraform, Eclipse;Notepad++;Visual Studio;Visual Studio Code, Notepad++;Visual Studio;Visual Studio Code, Windows, Windows, Git, Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application, , , Confluence;Jira Work Management, NA, Microsoft Teams, NA, Very unfavorable, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, Less than once per month or monthly, No, not really, 25-34 years old, Man, No, Straight / Heterosexual, European, None of the above, None of the above, No, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Neither easy nor difficult, 38832, 
3453, I am a developer by profession, Employed, full-time, Fully remote, Hobby;Contribute to open-source projects;Bootstrapping a business, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification, Technical documentation;Written Tutorials;Stack Overflow;Video-based Online Courses;Online forum;How-to videos, Udemy, 5, 2, Developer, full-stack, 100 to 499 employees, I have some influence, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with, Malaysia, MYR	Malaysian ringgit, 3000, Monthly, HTML/CSS;JavaScript;PHP;SQL;TypeScript, HTML/CSS;Java;JavaScript;PHP;Rust;Solidity;SQL, Cloud Firestore;MariaDB;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis;SQLite, Cassandra;CouchDB;Cloud Firestore;MySQL;PostgreSQL;Redis, AWS;Firebase;Heroku;OVH, AWS;DigitalOcean;Firebase;Microsoft Azure;OVH, Express;Laravel;Node.js;Vue.js, Express;Laravel;Node.js;Nuxt.js;Svelte;Vue.js, NA, NA, Docker;Kubernetes;npm, Ansible;Docker;Homebrew;Kubernetes;npm, Vim;Visual Studio Code, PhpStorm;Vim;Visual Studio Code;Xcode, Linux-based;macOS;Windows Subsystem for Linux (WSL), Linux-based;Windows;Windows Subsystem for Linux (WSL), Git, Code editor;Command-line, , , NA, NA, Cisco Webex Teams;Microsoft Teams;Zoom, Slack, Favorable, Stack Overflow, Daily or almost daily, Yes, Less than once per month or monthly, Neutral, 25-34 years old, Man, No, Straight / Heterosexual, Southeast Asian, I am blind / have difficulty seeing, I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.), No, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Neither easy nor difficult, 8208, 
3883, I am learning to code, Student, full-time, NA, NA, Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification, Blogs;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos, Udemy, 3, NA, NA, NA, NA, Visit developer communities like Stack Overflow, Malaysia, NA, NA, NA, HTML/CSS;Python, HTML/CSS;JavaScript;Python;Rust, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, IPython/Jupyter;Visual Studio Code, IPython/Jupyter;Vim;Visual Studio Code, , Windows, Git, Code editor;Command-line, , , NA, NA, Microsoft Teams;Zoom, NA, Unfavorable, Stack Overflow;Stack Exchange, A few times per month or weekly, Yes, I have never participated in Q&A on Stack Overflow, No, not really, Under 18 years old, Man, No, Straight / Heterosexual, Asian, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
4164, I am a developer by profession, Not employed, but looking for work, NA, NA, Some college/university study without earning a degree, Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp;Hackathons (virtual or in-person), Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Online forum;How-to videos;Written-based Online Courses;Interactive tutorial, Other, 2, NA, Developer, full-stack;Developer, game or graphics;Blockchain, NA, NA, Read ratings or reviews on third party sites like G2Crowd, Malaysia, NA, NA, NA, JavaScript;Rust;Solidity;TypeScript, Rust;Solidity;TypeScript, NA, NA, DigitalOcean, DigitalOcean, Svelte, Nuxt.js;Svelte;Vue.js, NA, NA, npm, NA, Visual Studio Code, Visual Studio Code, Windows Subsystem for Linux (WSL), Windows Subsystem for Linux (WSL), Git, Command-line, , , Notion;Trello, NA, Slack, NA, Very favorable, Stack Overflow;Stack Exchange, A few times per week, No, NA, Yes, somewhat, 18-24 years old, Man, No, Straight / Heterosexual, Southeast Asian, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
4519, I am a developer by profession, Employed, full-time, Full in-person, Hobby;Bootstrapping a business, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Certification videos, Coursera;Udemy;Codecademy, 10, 2, Developer, front-end;Developer, full-stack;Developer, back-end, 100 to 499 employees, I have little or no influence, Visit developer communities like Stack Overflow;Ask developers I know/work with, Malaysia, MYR	Malaysian ringgit, 3000, Monthly, C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript, C#;HTML/CSS;JavaScript;Python;SQL;TypeScript, MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite, Microsoft SQL Server;MySQL;Oracle;PostgreSQL, AWS;VMware, AWS;Firebase;Google Cloud;Heroku;Microsoft Azure;Oracle Cloud Infrastructure;OpenStack, Angular;ASP.NET;ASP.NET Core ;Drupal, Angular;ASP.NET Core ;Next.js;Node.js, .NET;Ionic, .NET;Ionic, npm, Docker;npm, Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code, Visual Studio;Visual Studio Code, Windows, Windows, Git, Code editor;Command-line;Dedicated version control GUI application, , , NA, NA, Microsoft Teams;Zoom, Microsoft Teams;Slack;Zoom, Very unfavorable, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, Less than once per month or monthly, Yes, somewhat, 18-24 years old, Man, No, Straight / Heterosexual, Southeast Asian, None of the above, None of the above, Yes, Independent contributor, 1, Strongly disagree, Disagree, Disagree, Agree, Agree, Disagree, Agree, 1-2 times a week, Never, Never, Over 120 minutes a day, 15-30 minutes a day, Somewhat long, Innersource initiative;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing, No, Yes, Yes, Appropriate in length, Easy, 8208, 
4773, I am a developer by profession, Employed, full-time, Hybrid (some remote, some in-person), Hobby, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague, Technical documentation;Blogs;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Certification videos, Udemy;Pluralsight, 9, 5, Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator, 20 to 99 employees, I have some influence, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Malaysia, MYR	Malaysian ringgit, 9100, Monthly, HTML/CSS;JavaScript;SQL;TypeScript, HTML/CSS;JavaScript;Kotlin;Rust;SQL;TypeScript, Microsoft SQL Server;MySQL;PostgreSQL;Redis, PostgreSQL, Google Cloud, Google Cloud, Angular;Express;Node.js, Deno;Express;Next.js;Node.js;React.js, NA, NA, Docker;npm;Yarn, Docker;Kubernetes;npm;Yarn, Notepad++;Visual Studio Code, Notepad++;Visual Studio Code, Linux-based;Windows, Windows, Git, Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application, , , Trello, NA, Microsoft Teams, Microsoft Teams, Indifferent, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, Less than once per month or monthly, No, not really, 25-34 years old, Man, No, Straight / Heterosexual, Asian;East Asian, None of the above, None of the above, Yes, Independent contributor, 4, Agree, Agree, Neither agree nor disagree, Neither agree nor disagree, Neither agree nor disagree, Agree, Agree, 1-2 times a week, 3-5 times a week, 1-2 times a week, 15-30 minutes a day, 15-30 minutes a day, Just right, None of these, No, No, Yes, Too long, Easy, 24888, 
5212, I am a developer by profession, Not employed, but looking for work, NA, NA, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc), Technical documentation;Blogs;Stack Overflow;Written-based Online Courses;Coding sessions (live or recorded), NA, 8, NA, Developer, front-end;Developer, full-stack;Developer, back-end, NA, NA, Start a free trial;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd, Malaysia, NA, NA, NA, Bash/Shell;Dart;Java;JavaScript;Python;SQL;TypeScript, Bash/Shell;C++;Go;Java;JavaScript;Python;TypeScript, Microsoft SQL Server;PostgreSQL, DynamoDB;MongoDB;Firebase Realtime Database;Redis, NA, NA, Vue.js, Flask;Node.js;React.js, Flutter;Spring, Apache Kafka;Electron, Docker;Kubernetes;npm, Docker;npm;Yarn, Android Studio;Vim;Visual Studio;Visual Studio Code, Vim;Visual Studio Code, Windows;Windows Subsystem for Linux (WSL), Linux-based;Windows;Windows Subsystem for Linux (WSL), Git, Command-line;Version control hosting service web GUI, , , ClickUp;Microsoft Lists;Notion, Notion, Slack, Microsoft Teams, Favorable, Stack Overflow;Stack Exchange, A few times per week, Yes, Less than once per month or monthly, Yes, somewhat, 25-34 years old, Man, No, Straight / Heterosexual, Asian, None of the above, Prefer not to say, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Too long, Neither easy nor difficult, NA, 
5215, I am a developer by profession, Student, full-time, NA, NA, Associate degree (A.A., A.S., etc.), Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification, Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded);Certification videos, Coursera;Udemy;Codecademy;edX, 4, NA, NA, NA, NA, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with, Malaysia, NA, NA, NA, Assembly;C++;Dart;HTML/CSS;Java;JavaScript;PowerShell;SQL, Dart;JavaScript;Julia;Swift;TypeScript, Cloud Firestore;MongoDB;Firebase Realtime Database;SQLite, Cloud Firestore;MongoDB;MySQL;Firebase Realtime Database;Redis;SQLite, Firebase;Google Cloud;Heroku, DigitalOcean;Firebase;Google Cloud;Heroku;Microsoft Azure, Express;Node.js;React.js, Angular.js;Express;Next.js;Node.js;React.js, Flutter, Flutter;TensorFlow, Docker;Homebrew;Kubernetes;npm;Unity 3D, Docker;Kubernetes;npm;Unity 3D, CLion;Eclipse;IntelliJ;NetBeans;Notepad++;Visual Studio;Visual Studio Code;Xcode, Visual Studio Code;Xcode, Linux-based;macOS;Windows, macOS, Git, Command-line, , , Asana;Jira Work Management;Microsoft Planner;Trello, Asana;Trello, Cisco Webex Teams;Google Chat;Microsoft Teams;Zoom, Google Chat;Microsoft Teams, Favorable, Collectives on Stack Overflow;Stack Overflow;Stack Exchange, Multiple times per day, Yes, A few times per week, Neutral, 18-24 years old, Man, No, Straight / Heterosexual, Indian;Asian, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Neither easy nor difficult, NA, 
