ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
849, I am learning to code, I prefer not to say, NA, NA, Primary/elementary school, Other online resources (e.g., videos, blogs, forum), Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online forum;Written-based Online Courses;Interactive tutorial, NA, 1, NA, NA, NA, NA, Visit developer communities like Stack Overflow, Jordan, NA, NA, NA, C++;Rust, JavaScript;TypeScript, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Visual Studio;Visual Studio Code, NA, , Windows;Windows Subsystem for Linux (WSL), Git, Command-line;Dedicated version control GUI application, , , NA, NA, NA, NA, Unsure, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, Less than once per month or monthly, Neutral, Under 18 years old, Man, No, Straight / Heterosexual, Middle Eastern, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
910, I code primarily as a hobby, Student, full-time, NA, NA, Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.), Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc), Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);Interactive tutorial, NA, 3, NA, NA, NA, NA, Other (please specify):;Ask developers I know/work with, Jordan, NA, NA, NA, C#;JavaScript;Rust, C#;Crystal;Julia;Rust, NA, NA, NA, NA, NA, NA, .NET, .NET, NA, NA, IntelliJ;Visual Studio;Visual Studio Code, IntelliJ;Visual Studio;Visual Studio Code, , Windows, Git, Code editor;Command-line;Dedicated version control GUI application, , , Trello, Trello, Zoom, Zoom, Unfavorable, Collectives on Stack Overflow, Daily or almost daily, Yes, Less than once per month or monthly, No, not at all, 18-24 years old, Man;Or, in your own words:, No, Straight / Heterosexual, Middle Eastern, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Too long, Easy, NA, 
3515, I am a developer by profession, Employed, full-time, Hybrid (some remote, some in-person), Hobby;Bootstrapping a business;Freelance/contract work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media, NA, NA, 7, 4, Developer, front-end, 500 to 999 employees, I have some influence, Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Jordan, USD	United States dollar, 60000, Yearly, HTML/CSS;JavaScript;PHP, Go;JavaScript;Python;Rust, MongoDB;PostgreSQL;Firebase Realtime Database, Elasticsearch;MongoDB;PostgreSQL;Redis, AWS;DigitalOcean;Firebase, AWS;DigitalOcean;Firebase, Angular;Express;Next.js;Node.js;Nuxt.js;React.js;Vue.js, Deno;Express;Next.js;Node.js;Nuxt.js;React.js;Svelte;Vue.js, Electron;Flutter;React Native, Flutter, Homebrew;npm;Yarn, Docker;Homebrew;Kubernetes;npm;Yarn, PhpStorm;PyCharm;Visual Studio Code;Webstorm, PhpStorm;PyCharm;Visual Studio Code;Webstorm, Linux-based;macOS, Linux-based;macOS, Git, Code editor;Command-line, , , ClickUp;Jira Work Management;Trello, Jira Work Management, Slack;Zoom, Slack, Indifferent, Collectives on Stack Overflow;Stack Overflow;Stack Exchange, A few times per week, Yes, Less than once per month or monthly, Yes, somewhat, 25-34 years old, Man, No, Straight / Heterosexual, Middle Eastern, None of the above, None of the above, Yes, Independent contributor, 4, Agree, Neither agree nor disagree, Agree, Agree, Agree, Disagree, Disagree, Never, 3-5 times a week, 1-2 times a week, Less than 15 minutes a day, 15-30 minutes a day, Somewhat short, DevOps function;Continuous integration (CI) and (more often) continuous delivery;Automated testing, Yes, Yes, Yes, Too long, Neither easy nor difficult, 60000, 
5097, I am a developer by profession, Employed, full-time, Full in-person, Hobby;Bootstrapping a business;Freelance/contract work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos, Udemy;Other, 3, 3, Developer, full-stack, 10 to 19 employees, I have little or no influence, Start a free trial;Ask developers I know/work with, Jordan, JOD	Jordanian dinar, 800, Monthly, HTML/CSS;JavaScript;PHP, JavaScript;PHP;SQL;TypeScript, MySQL;Firebase Realtime Database, MongoDB;Redis, NA, NA, Drupal, Laravel;Node.js;React.js;Svelte, NA, NA, NA, NA, PhpStorm, PhpStorm;Webstorm, Linux-based;Windows Subsystem for Linux (WSL), Windows, Git, Command-line, , , Jira Work Management, ClickUp, Slack;Zoom, Slack;Zoom, Favorable, Stack Overflow;Stack Exchange, Multiple times per day, Yes, I have never participated in Q&A on Stack Overflow, Neutral, 25-34 years old, Man, No, Straight / Heterosexual, Middle Eastern, None of the above, None of the above, No, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Too long, Easy, 13536, 
5822, I am a developer by profession, Employed, full-time, Hybrid (some remote, some in-person), Hobby;Contribute to open-source projects;Bootstrapping a business, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum), Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;How-to videos;Written-based Online Courses, NA, 10, 3, Developer, full-stack, 20 to 99 employees, I have little or no influence, Start a free trial, Jordan, JOD	Jordanian dinar, 850, Monthly, Bash/Shell;C++;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript, Bash/Shell;HTML/CSS;JavaScript;Kotlin;PHP;SQL;TypeScript, MariaDB;MySQL;SQLite, MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite, DigitalOcean;Google Cloud, AWS;DigitalOcean, jQuery;Laravel;Ruby on Rails;Vue.js, jQuery;Laravel;Ruby on Rails;Vue.js, Capacitor;Cordova;Ionic, NA, Docker;npm, Docker;Kubernetes;npm, IntelliJ;Visual Studio Code, Visual Studio Code, Linux-based, Linux-based, Git, Command-line, , , Jira Work Management, Jira Work Management, Microsoft Teams;Zoom, Microsoft Teams;Slack, Indifferent, Stack Overflow;Stack Exchange, Multiple times per day, Yes, I have never participated in Q&A on Stack Overflow, No, not at all, 25-34 years old, Man, No, Straight / Heterosexual, Middle Eastern, None of the above, None of the above, No, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, 14388, 
7371, I am a developer by profession, Employed, full-time, Full in-person, Hobby;Contribute to open-source projects;Freelance/contract work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Auditory material (e.g., podcasts);Interactive tutorial, Udemy;Codecademy, 6, 2, Developer, full-stack;Developer, QA or test;Developer, mobile, 2 to 9 employees, I have some influence, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with, Jordan, JOD	Jordanian dinar, 450, Monthly, Dart;HTML/CSS;JavaScript;PHP;PowerShell, HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript, Cloud Firestore;MySQL;Redis;SQLite, Cloud Firestore;MongoDB;MySQL;Oracle;Redis, Firebase, Microsoft Azure, jQuery;Laravel;Vue.js, jQuery;Laravel;Nuxt.js;Vue.js, Cordova;Flutter, Flutter, npm, npm, Atom;Notepad++;Sublime Text;Visual Studio;Visual Studio Code;Xcode, Atom;PhpStorm;Sublime Text;Visual Studio Code, Windows, Windows, Git, Code editor;Command-line, , , NA, NA, Zoom, Zoom, Favorable, Stack Overflow;Stack Exchange, A few times per week, Yes, Less than once per month or monthly, Neutral, 18-24 years old, Man, No, Straight / Heterosexual, South Asian, None of the above, I have an anxiety disorder, No, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, 7620, 
11117, I am a developer by profession, Employed, full-time;Independent contractor, freelancer, or self-employed, Full in-person, Bootstrapping a business;Freelance/contract work, Master’s degree (M.A., M.S., M.Eng., MBA, etc.), Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification, NA, Udemy, 12, 6, Developer, mobile, 20 to 99 employees, I have some influence, Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with, Jordan, JOD	Jordanian dinar, 2000, Monthly, Dart;Java;Kotlin, Dart;Go;Java;Kotlin;Swift, NA, NA, NA, NA, NA, NA, Flutter, Flutter;Spring;TensorFlow, NA, NA, Android Studio, Android Studio;GoLand;PyCharm;Xcode, macOS, macOS, Git, Code editor;Command-line, , , Trello, Trello, Microsoft Teams, Slack, Unfavorable, Stack Overflow;Stack Exchange, Multiple times per day, Yes, Less than once per month or monthly, No, not really, 25-34 years old, Man, No, Straight / Heterosexual, Middle Eastern, None of the above, None of the above, Yes, People manager, 5, Strongly agree, Agree, Disagree, Disagree, Strongly disagree, Agree, Agree, 1-2 times a week, 6-10 times a week, 1-2 times a week, 30-60 minutes a day, 60-120 minutes a day, Just right, Microservices, Yes, No, No, Too long, Easy, 33852, 
11517, I am a developer by profession, Employed, full-time, Hybrid (some remote, some in-person), I don’t code outside of work, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification, Technical documentation;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded), Coursera;Udemy;Codecademy, 15, 10, Developer, full-stack;DevOps specialist, 10,000 or more employees, I have little or no influence, Start a free trial;Ask developers I know/work with, Jordan, JOD	Jordanian dinar, 4378, Monthly, Bash/Shell;HTML/CSS;Java;JavaScript;Python;TypeScript, Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript, PostgreSQL, PostgreSQL, AWS, AWS, Node.js;React.js, Node.js;React.js, NA, NA, Docker;Homebrew;npm;Terraform, Docker;Homebrew;Kubernetes;npm;Terraform, IntelliJ;Visual Studio;Visual Studio Code, IntelliJ;Visual Studio;Visual Studio Code, Linux-based;macOS, Windows, Git, Command-line, , , Confluence;Jira Work Management;Trello, Confluence;Jira Work Management;Trello, Slack;Zoom, Slack;Zoom, Unfavorable, Stack Overflow;Stack Exchange, Multiple times per day, Yes, A few times per week, Yes, definitely, 25-34 years old, Man, No, Straight / Heterosexual, Middle Eastern, None of the above, None of the above, Yes, Independent contributor, 10, Agree, Strongly disagree, Disagree, Disagree, Agree, Neither agree nor disagree, Neither agree nor disagree, Never, 1-2 times a week, 1-2 times a week, 15-30 minutes a day, 30-60 minutes a day, Somewhat long, Innersource initiative;DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools, Yes, Yes, Yes, Too long, Easy, 74112, 
12101, I code primarily as a hobby, I prefer not to say, NA, NA, Primary/elementary school, Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp, Technical documentation;Blogs;Stack Overflow;Online forum;How-to videos, NA, 2, NA, NA, NA, NA, Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Jordan, NA, NA, NA, C;C++;JavaScript;Python;TypeScript, C#;HTML/CSS;Java;JavaScript;Python;TypeScript, MongoDB, MongoDB;Firebase Realtime Database;Redis, AWS;Google Cloud;VMware, Firebase;Google Cloud;Microsoft Azure, NA, NA, NumPy, NumPy;Pandas;TensorFlow;Torch/PyTorch, npm, npm, IntelliJ;PyCharm;Rider;Visual Studio;Visual Studio Code, IntelliJ;PyCharm;Visual Studio;Visual Studio Code, Windows, Windows, Git, Code editor;Version control hosting service web GUI, , , NA, NA, NA, NA, Unsure, Stack Overflow;Stack Exchange, A few times per month or weekly, No, NA, No, not really, Prefer not to say, Man, No, NA, White;European;Middle Eastern, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
12994, I am learning to code, Student, full-time, NA, NA, Bachelor’s degree (B.A., B.S., B.Eng., etc.), Other online resources (e.g., videos, blogs, forum);Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;How-to videos;Written-based Online Courses, Udemy, Less than 1 year, NA, NA, NA, NA, Start a free trial;Visit developer communities like Stack Overflow, Jordan, NA, NA, NA, Dart, Dart;JavaScript, Cloud Firestore, MySQL, NA, NA, NA, NA, NA, NA, NA, NA, Android Studio;Visual Studio Code, Visual Studio Code, Windows, Windows, Git, Command-line, , , Trello, NA, Zoom, NA, Favorable, Stack Overflow, Daily or almost daily, Yes, I have never participated in Q&A on Stack Overflow, Yes, somewhat, 18-24 years old, Man, No, Straight / Heterosexual, Middle Eastern, None of the above, I have a concentration and/or memory disorder (e.g., ADHD, etc.), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Too long, Easy, NA, 
15940, I code primarily as a hobby, Student, part-time, NA, NA, Primary/elementary school, Other online resources (e.g., videos, blogs, forum), Video-based Online Courses;How-to videos, NA, 2, NA, NA, NA, NA, NA, Jordan, NA, NA, NA, HTML/CSS;JavaScript, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Visual Studio Code, Visual Studio Code, Windows, Windows, Git, Command-line, , , NA, NA, NA, NA, Unsure, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, A few times per month or weekly, Yes, definitely, Under 18 years old, Man, No, Prefer not to say, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 
16468, I am a developer by profession, Student, part-time;Independent contractor, freelancer, or self-employed, Fully remote, Hobby;Freelance/contract work, Primary/elementary school, Other online resources (e.g., videos, blogs, forum);Online Courses or Certification, Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos, edX;Other, 1, NA, Developer, front-end;Developer, full-stack;Developer, back-end;Student, NA, NA, Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd, Jordan, NA, NA, NA, C++;HTML/CSS;JavaScript;Python;TypeScript, Dart;Go;HTML/CSS;JavaScript;Python;Rust;TypeScript, Cloud Firestore;PostgreSQL;SQLite, PostgreSQL, Firebase;Heroku, NA, Django;Next.js;React.js, Express;Next.js;Nuxt.js;React.js;Svelte;Vue.js, NA, NA, npm;Yarn, npm;Yarn, Android Studio;PyCharm;Sublime Text;Visual Studio;Visual Studio Code, Vim;Visual Studio Code, Windows, Windows, Git, Code editor;Command-line, , , Notion, Notion, NA, NA, Very unfavorable, Stack Overflow;Stack Exchange, Daily or almost daily, Yes, I have never participated in Q&A on Stack Overflow, Yes, somewhat, Under 18 years old, Man, No, Straight / Heterosexual, Middle Eastern, None of the above, None of the above, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Appropriate in length, Easy, NA, 
