orgsize,salary
20 to 99 employees,40205
100 to 499 employees,215232
I don’t know,49056
100 to 499 employees,60307
20 to 99 employees,194400
2 to 9 employees,65000
5000 to 9999 employees,110000
2 to 9 employees,19224
1000 to 4999 employees,202623
100 to 499 employees,51192
20 to 99 employees,34126
100 to 499 employees,97605
20 to 99 employees,90647
20 to 99 employees,106960
10000 or more employees,130000
10000 or more employees,102000
100 to 499 employees,83256
100 to 499 employees,130000
20 to 99 employees,68160
500 to 999 employees,5124
1000 to 4999 employees,135000
20 to 99 employees,106644
100 to 499 employees,51192
20 to 99 employees,38856
100 to 499 employees,170000
20 to 99 employees,103705
100 to 499 employees,141000
100 to 499 employees,55163
20 to 99 employees,46704
100 to 499 employees,63986
2 to 9 employees,66372
I don’t know,74651
500 to 999 employees,150000
1000 to 4999 employees,24924
20 to 99 employees,38808
10000 or more employees,63986
10 to 19 employees,50220
500 to 999 employees,160000
20 to 99 employees,87448
100 to 499 employees,150000
20 to 99 employees,69102
100 to 499 employees,95000
100 to 499 employees,95979
100 to 499 employees,71451
1000 to 4999 employees,57288
20 to 99 employees,63986
100 to 499 employees,63986
10 to 19 employees,166000
20 to 99 employees,52769
100 to 499 employees,92000
20 to 99 employees,143484
100 to 499 employees,450000
10000 or more employees,12024
10000 or more employees,79983
10 to 19 employees,47743
100 to 499 employees,200000
100 to 499 employees,93420
100 to 499 employees,35000
100 to 499 employees,75384
20 to 99 employees,44790
10000 or more employees,78525
10000 or more employees,76313
1000 to 4999 employees,130000
10000 or more employees,26868
100 to 499 employees,110000
500 to 999 employees,66372
20 to 99 employees,81672
10000 or more employees,45300
100 to 499 employees,21120
10000 or more employees,78084
10000 or more employees,98000
100 to 499 employees,144000
500 to 999 employees,123127
10000 or more employees,197292
20 to 99 employees,103500
100 to 499 employees,35138
500 to 999 employees,80409
10000 or more employees,15480
1000 to 4999 employees,200000
1000 to 4999 employees,132000
1000 to 4999 employees,63984
20 to 99 employees,92136
I don’t know,32712
100 to 499 employees,38388
500 to 999 employees,165298
10000 or more employees,106644
2 to 9 employees,136000
500 to 999 employees,331692
20 to 99 employees,54025
1000 to 4999 employees,400000
I don’t know,130000
500 to 999 employees,136947
10000 or more employees,41625
500 to 999 employees,200000
500 to 999 employees,118729
1000 to 4999 employees,497532
Just me,159966
500 to 999 employees,358320
20 to 99 employees,110000
100 to 499 employees,70000
10 to 19 employees,58037
5000 to 9999 employees,53322
100 to 499 employees,52789
500 to 999 employees,100000
1000 to 4999 employees,120000
20 to 99 employees,60307
