job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,39523
Engineer  data,10696
Engineer  site reliability,85315
Developer  full-stack,21698
 Developer  back-end,0
Developer  desktop or enterprise applications,25598
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,348
Database administrator,21360
Academic researcher,0
DevOps specialist,40390
Other,0
Developer  embedded applications or devices,44509
Developer  game or graphics,0
Project manager,5340
Cloud infrastructure engineer,71457
Data or business analyst,26700
Designer,0
Scientist,0
Product manager,5340
Senior Executive,0
System administrator,0
Blockchain,0
Marketing or sales professional,0
Security professional,85315
