job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,7020
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,9984
 Developer  back-end,0
Developer  desktop or enterprise applications,3504
Developer  QA or test,7440
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,0
Academic researcher,19196
DevOps specialist,13318
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,7440
Cloud infrastructure engineer,0
Data or business analyst,3504
Designer,6192
Scientist,0
Product manager,0
Senior Executive,0
System administrator,7440
Blockchain,0
Marketing or sales professional,0
Security professional,0
