job,avgsalary
Data scientist or machine learning specialist,25596
Developer  front-end,132238
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,58363
 Developer  back-end,0
Developer  desktop or enterprise applications,38392
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,28794
Database administrator,0
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,0
Data or business analyst,0
Designer,0
Scientist,0
Product manager,28794
Senior Executive,0
System administrator,33593
Blockchain,113890
Marketing or sales professional,0
Security professional,0
