job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,1921
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,6222
 Developer  back-end,0
Developer  desktop or enterprise applications,2529
Developer  QA or test,0
Student,2403
Developer  mobileEducator,0
Engineering manager,0
Database administrator,3744
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,2403
Developer  game or graphics,0
Project manager,17304
Cloud infrastructure engineer,0
Data or business analyst,17304
Designer,1921
Scientist,0
Product manager,0
Senior Executive,0
System administrator,0
Blockchain,0
Marketing or sales professional,1921
Security professional,0
