job,avgsalary
Data scientist or machine learning specialist,45557
Developer  front-end,36954
Engineer  data,65809
Engineer  site reliability,44755
Developer  full-stack,55315
 Developer  back-end,0
Developer  desktop or enterprise applications,30676
Developer  QA or test,33988
Student,17020
Developer  mobileEducator,0
Engineering manager,58277
Database administrator,37984
Academic researcher,20435
DevOps specialist,46064
Other,42149
Developer  embedded applications or devices,54596
Developer  game or graphics,50281
Project manager,52108
Cloud infrastructure engineer,53995
Data or business analyst,34449
Designer,30926
Scientist,49632
Product manager,46301
Senior Executive,86098
System administrator,38747
Blockchain,103122
Marketing or sales professional,40098
Security professional,342276
