job,avgsalary
Data scientist or machine learning specialist,174772
Developer  front-end,26947
Engineer  data,151672
Engineer  site reliability,255945
Developer  full-stack,54975
 Developer  back-end,0
Developer  desktop or enterprise applications,236352
Developer  QA or test,72000
Student,0
Developer  mobileEducator,0
Engineering manager,97929
Database administrator,22163
Academic researcher,0
DevOps specialist,81346
Other,28968
Developer  embedded applications or devices,0
Developer  game or graphics,89562
Project manager,1215588
Cloud infrastructure engineer,112595
Data or business analyst,117847
Designer,0
Scientist,34928
Product manager,810428
Senior Executive,31176
System administrator,49147
Blockchain,82393
Marketing or sales professional,0
Security professional,67146
