job,avgsalary
Data scientist or machine learning specialist,135549
Developer  front-end,255190
Engineer  data,217270
Engineer  site reliability,116418
Developer  full-stack,200479
 Developer  back-end,0
Developer  desktop or enterprise applications,258120
Developer  QA or test,207093
Student,72185
Developer  mobileEducator,0
Engineering manager,318245
Database administrator,247621
Academic researcher,266490
DevOps specialist,238370
Other,298845
Developer  embedded applications or devices,322728
Developer  game or graphics,232359
Project manager,389209
Cloud infrastructure engineer,207202
Data or business analyst,134924
Designer,320999
Scientist,203727
Product manager,121542
Senior Executive,358419
System administrator,195036
Blockchain,595489
Marketing or sales professional,108633
Security professional,265963
