job,avgsalary
Data scientist or machine learning specialist,96709
Developer  front-end,146789
Engineer  data,87086
Engineer  site reliability,70445
Developer  full-stack,80720
 Developer  back-end,0
Developer  desktop or enterprise applications,97253
Developer  QA or test,66648
Student,61510
Developer  mobileEducator,0
Engineering manager,132525
Database administrator,70110
Academic researcher,59093
DevOps specialist,73781
Other,62526
Developer  embedded applications or devices,142352
Developer  game or graphics,66264
Project manager,81587
Cloud infrastructure engineer,72351
Data or business analyst,65615
Designer,54200
Scientist,87635
Product manager,107155
Senior Executive,84462
System administrator,87951
Blockchain,102378
Marketing or sales professional,46923
Security professional,134540
