job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,20212
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,42821
 Developer  back-end,0
Developer  desktop or enterprise applications,42510
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,0
Academic researcher,0
DevOps specialist,3528
Other,10596
Developer  embedded applications or devices,3528
Developer  game or graphics,0
Project manager,62400
Cloud infrastructure engineer,60012
Data or business analyst,14124
Designer,3528
Scientist,0
Product manager,14124
Senior Executive,0
System administrator,3528
Blockchain,21180
Marketing or sales professional,0
Security professional,0
