job,avgsalary
Data scientist or machine learning specialist,11144
Developer  front-end,17982
Engineer  data,7468
Engineer  site reliability,26925
Developer  full-stack,17210
 Developer  back-end,0
Developer  desktop or enterprise applications,17674
Developer  QA or test,14593
Student,18071
Developer  mobileEducator,0
Engineering manager,16117
Database administrator,11439
Academic researcher,7503
DevOps specialist,38273
Other,10000
Developer  embedded applications or devices,19368
Developer  game or graphics,13644
Project manager,16655
Cloud infrastructure engineer,24857
Data or business analyst,8243
Designer,11524
Scientist,0
Product manager,13016
Senior Executive,28548
System administrator,10176
Blockchain,9735
Marketing or sales professional,21828
Security professional,6816
