job,avgsalary
Data scientist or machine learning specialist,95976
Developer  front-end,40822
Engineer  data,57378
Engineer  site reliability,53924
Developer  full-stack,39611
 Developer  back-end,0
Developer  desktop or enterprise applications,34416
Developer  QA or test,34502
Student,12000
Developer  mobileEducator,0
Engineering manager,80000
Database administrator,55238
Academic researcher,3552
DevOps specialist,56730
Other,90000
Developer  embedded applications or devices,22263
Developer  game or graphics,33339
Project manager,62066
Cloud infrastructure engineer,58496
Data or business analyst,52567
Designer,6756
Scientist,3552
Product manager,6756
Senior Executive,0
System administrator,54600
Blockchain,42000
Marketing or sales professional,0
Security professional,0
