job,avgsalary
Data scientist or machine learning specialist,51148
Developer  front-end,92924
Engineer  data,107744
Engineer  site reliability,62257
Developer  full-stack,84646
 Developer  back-end,0
Developer  desktop or enterprise applications,111537
Developer  QA or test,62019
Student,69521
Developer  mobileEducator,0
Engineering manager,62928
Database administrator,59555
Academic researcher,50313
DevOps specialist,97069
Other,75940
Developer  embedded applications or devices,94023
Developer  game or graphics,87379
Project manager,133504
Cloud infrastructure engineer,58983
Data or business analyst,50863
Designer,75197
Scientist,56549
Product manager,91327
Senior Executive,111441
System administrator,63127
Blockchain,133302
Marketing or sales professional,38394
Security professional,77806
