job,avgsalary
Data scientist or machine learning specialist,12216
Developer  front-end,31482
Engineer  data,12216
Engineer  site reliability,0
Developer  full-stack,26830
 Developer  back-end,0
Developer  desktop or enterprise applications,35800
Developer  QA or test,62000
Student,41892
Developer  mobileEducator,0
Engineering manager,35920
Database administrator,19967
Academic researcher,11280
DevOps specialist,22518
Other,0
Developer  embedded applications or devices,12504
Developer  game or graphics,6546
Project manager,26760
Cloud infrastructure engineer,28768
Data or business analyst,0
Designer,10992
Scientist,0
Product manager,0
Senior Executive,0
System administrator,11838
Blockchain,0
Marketing or sales professional,0
Security professional,0
