job,avgsalary
Data scientist or machine learning specialist,128184
Developer  front-end,47475
Engineer  data,32736
Engineer  site reliability,32736
Developer  full-stack,43270
 Developer  back-end,0
Developer  desktop or enterprise applications,29096
Developer  QA or test,96870
Student,170196
Developer  mobileEducator,0
Engineering manager,51776
Database administrator,52914
Academic researcher,240000
DevOps specialist,34044
Other,0
Developer  embedded applications or devices,35568
Developer  game or graphics,32736
Project manager,30004
Cloud infrastructure engineer,31917
Data or business analyst,27280
Designer,3276
Scientist,0
Product manager,40914
Senior Executive,32736
System administrator,23052
Blockchain,32736
Marketing or sales professional,0
Security professional,10236
