job,avgsalary
Data scientist or machine learning specialist,11952
Developer  front-end,4230
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,25644
 Developer  back-end,0
Developer  desktop or enterprise applications,68472
Developer  QA or test,5976
Student,5976
Developer  mobileEducator,0
Engineering manager,0
Database administrator,0
Academic researcher,8964
DevOps specialist,0
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,0
Data or business analyst,0
Designer,0
Scientist,8964
Product manager,0
Senior Executive,0
System administrator,0
Blockchain,0
Marketing or sales professional,0
Security professional,0
