job,avgsalary
Data scientist or machine learning specialist,38234
Developer  front-end,43381
Engineer  data,45326
Engineer  site reliability,63426
Developer  full-stack,43846
 Developer  back-end,0
Developer  desktop or enterprise applications,44969
Developer  QA or test,78706
Student,17739
Developer  mobileEducator,0
Engineering manager,86687
Database administrator,63912
Academic researcher,63086
DevOps specialist,78633
Other,42066
Developer  embedded applications or devices,27094
Developer  game or graphics,40381
Project manager,56899
Cloud infrastructure engineer,79252
Data or business analyst,68969
Designer,37429
Scientist,55957
Product manager,78077
Senior Executive,118199
System administrator,69870
Blockchain,62884
Marketing or sales professional,7146
Security professional,35243
