job,avgsalary
Data scientist or machine learning specialist,50011
Developer  front-end,68786
Engineer  data,42987
Engineer  site reliability,49073
Developer  full-stack,63741
 Developer  back-end,0
Developer  desktop or enterprise applications,50614
Developer  QA or test,34489
Student,28788
Developer  mobileEducator,0
Engineering manager,157971
Database administrator,47169
Academic researcher,34355
DevOps specialist,44414
Other,185495
Developer  embedded applications or devices,42286
Developer  game or graphics,56376
Project manager,50633
Cloud infrastructure engineer,52005
Data or business analyst,38624
Designer,60057
Scientist,53003
Product manager,46629
Senior Executive,99067
System administrator,35536
Blockchain,61284
Marketing or sales professional,44171
Security professional,35988
