job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,13854
Engineer  data,10000
Engineer  site reliability,0
Developer  full-stack,12773
 Developer  back-end,0
Developer  desktop or enterprise applications,10040
Developer  QA or test,10000
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,10000
Academic researcher,0
DevOps specialist,10000
Other,24228
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,10000
Cloud infrastructure engineer,10000
Data or business analyst,10000
Designer,0
Scientist,0
Product manager,0
Senior Executive,0
System administrator,0
Blockchain,10080
Marketing or sales professional,0
Security professional,0
