job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,8505
Engineer  data,0
Engineer  site reliability,8784
Developer  full-stack,9142
 Developer  back-end,0
Developer  desktop or enterprise applications,12928
Developer  QA or test,0
Student,12000
Developer  mobileEducator,0
Engineering manager,0
Database administrator,3900
Academic researcher,0
DevOps specialist,3900
Other,0
Developer  embedded applications or devices,3900
Developer  game or graphics,0
Project manager,8228
Cloud infrastructure engineer,3900
Data or business analyst,0
Designer,0
Scientist,0
Product manager,12000
Senior Executive,12000
System administrator,8228
Blockchain,0
Marketing or sales professional,12000
Security professional,12000
