job,avgsalary
Data scientist or machine learning specialist,170497
Developer  front-end,250415
Engineer  data,164065
Engineer  site reliability,193123
Developer  full-stack,265664
 Developer  back-end,0
Developer  desktop or enterprise applications,226117
Developer  QA or test,266477
Student,522968
Developer  mobileEducator,0
Engineering manager,347974
Database administrator,197266
Academic researcher,93674
DevOps specialist,170563
Other,113094
Developer  embedded applications or devices,187257
Developer  game or graphics,172709
Project manager,258965
Cloud infrastructure engineer,178012
Data or business analyst,208005
Designer,221950
Scientist,92617
Product manager,241675
Senior Executive,226976
System administrator,145807
Blockchain,359072
Marketing or sales professional,225897
Security professional,226833
