job,avgsalary
Data scientist or machine learning specialist,27053
Developer  front-end,31189
Engineer  data,44049
Engineer  site reliability,70387
Developer  full-stack,44428
 Developer  back-end,0
Developer  desktop or enterprise applications,35776
Developer  QA or test,29182
Student,21684
Developer  mobileEducator,0
Engineering manager,36999
Database administrator,37401
Academic researcher,27468
DevOps specialist,38273
Other,35357
Developer  embedded applications or devices,23310
Developer  game or graphics,36578
Project manager,36449
Cloud infrastructure engineer,58018
Data or business analyst,32106
Designer,43406
Scientist,32288
Product manager,30773
Senior Executive,79878
System administrator,55053
Blockchain,86817
Marketing or sales professional,47712
Security professional,63490
