job,avgsalary
Data scientist or machine learning specialist,198651
Developer  front-end,38031
Engineer  data,86104
Engineer  site reliability,55260
Developer  full-stack,74626
 Developer  back-end,0
Developer  desktop or enterprise applications,49340
Developer  QA or test,82601
Student,14412
Developer  mobileEducator,0
Engineering manager,182949
Database administrator,71555
Academic researcher,67553
DevOps specialist,76420
Other,77082
Developer  embedded applications or devices,52196
Developer  game or graphics,23210
Project manager,93544
Cloud infrastructure engineer,97800
Data or business analyst,51060
Designer,36893
Scientist,94099
Product manager,35543
Senior Executive,215107
System administrator,134752
Blockchain,83338
Marketing or sales professional,0
Security professional,54358
