job,avgsalary
Data scientist or machine learning specialist,17036
Developer  front-end,35004
Engineer  data,105836
Engineer  site reliability,276186
Developer  full-stack,48294
 Developer  back-end,0
Developer  desktop or enterprise applications,29852
Developer  QA or test,36472
Student,9060
Developer  mobileEducator,0
Engineering manager,40477
Database administrator,90119
Academic researcher,19924
DevOps specialist,120210
Other,50100
Developer  embedded applications or devices,36310
Developer  game or graphics,26724
Project manager,42232
Cloud infrastructure engineer,30955
Data or business analyst,22342
Designer,41220
Scientist,51324
Product manager,38005
Senior Executive,50692
System administrator,122705
Blockchain,96138
Marketing or sales professional,0
Security professional,331084
