job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,17856
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,37904
 Developer  back-end,0
Developer  desktop or enterprise applications,17856
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,24000
Academic researcher,0
DevOps specialist,24000
Other,0
Developer  embedded applications or devices,24000
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,0
Data or business analyst,24000
Designer,24000
Scientist,0
Product manager,0
Senior Executive,0
System administrator,0
Blockchain,0
Marketing or sales professional,0
Security professional,0
