job,avgsalary
Data scientist or machine learning specialist,37000
Developer  front-end,93018
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,82539
 Developer  back-end,0
Developer  desktop or enterprise applications,55863
Developer  QA or test,64460
Student,0
Developer  mobileEducator,0
Engineering manager,145000
Database administrator,18709
Academic researcher,0
DevOps specialist,81536
Other,216733
Developer  embedded applications or devices,78828
Developer  game or graphics,41400
Project manager,0
Cloud infrastructure engineer,90790
Data or business analyst,30788
Designer,8684
Scientist,54000
Product manager,0
Senior Executive,0
System administrator,19671
Blockchain,75266
Marketing or sales professional,0
Security professional,54000
