job,avgsalary
Data scientist or machine learning specialist,25926
Developer  front-end,44705
Engineer  data,68267
Engineer  site reliability,56442
Developer  full-stack,42714
 Developer  back-end,0
Developer  desktop or enterprise applications,34192
Developer  QA or test,24843
Student,0
Developer  mobileEducator,0
Engineering manager,45667
Database administrator,32763
Academic researcher,0
DevOps specialist,29915
Other,32283
Developer  embedded applications or devices,46766
Developer  game or graphics,56289
Project manager,38774
Cloud infrastructure engineer,46953
Data or business analyst,24482
Designer,38953
Scientist,0
Product manager,749075
Senior Executive,0
System administrator,28192
Blockchain,121643
Marketing or sales professional,13608
Security professional,24144
