job,avgsalary
Data scientist or machine learning specialist,6000
Developer  front-end,15091
Engineer  data,6000
Engineer  site reliability,19182
Developer  full-stack,12075
 Developer  back-end,0
Developer  desktop or enterprise applications,10296
Developer  QA or test,5082
Student,0
Developer  mobileEducator,0
Engineering manager,14400
Database administrator,3282
Academic researcher,0
DevOps specialist,21030
Other,0
Developer  embedded applications or devices,13992
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,8332
Data or business analyst,6600
Designer,9867
Scientist,0
Product manager,0
Senior Executive,0
System administrator,25098
Blockchain,0
Marketing or sales professional,0
Security professional,4800
