job,avgsalary
Data scientist or machine learning specialist,53322
Developer  front-end,559736
Engineer  data,69789
Engineer  site reliability,120000
Developer  full-stack,352893
 Developer  back-end,0
Developer  desktop or enterprise applications,77956
Developer  QA or test,120000
Student,0
Developer  mobileEducator,0
Engineering manager,136642
Database administrator,45855
Academic researcher,53322
DevOps specialist,159963
Other,108780
Developer  embedded applications or devices,127968
Developer  game or graphics,0
Project manager,861147
Cloud infrastructure engineer,120000
Data or business analyst,191959
Designer,155979
Scientist,120000
Product manager,845685
Senior Executive,149301
System administrator,45855
Blockchain,123708
Marketing or sales professional,0
Security professional,0
