job,avgsalary
Data scientist or machine learning specialist,45981
Developer  front-end,49458
Engineer  data,33291
Engineer  site reliability,41305
Developer  full-stack,59325
 Developer  back-end,0
Developer  desktop or enterprise applications,47663
Developer  QA or test,43995
Student,23668
Developer  mobileEducator,0
Engineering manager,79245
Database administrator,47728
Academic researcher,36386
DevOps specialist,60265
Other,54422
Developer  embedded applications or devices,40932
Developer  game or graphics,36270
Project manager,57874
Cloud infrastructure engineer,94345
Data or business analyst,49116
Designer,46350
Scientist,63675
Product manager,81708
Senior Executive,112639
System administrator,38115
Blockchain,78876
Marketing or sales professional,10428
Security professional,35762
