job,avgsalary
Data scientist or machine learning specialist,17568
Developer  front-end,5853
Engineer  data,17568
Engineer  site reliability,0
Developer  full-stack,5853
 Developer  back-end,0
Developer  desktop or enterprise applications,17076
Developer  QA or test,6828
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,6828
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,60
Project manager,0
Cloud infrastructure engineer,0
Data or business analyst,29280
Designer,972
Scientist,0
Product manager,0
Senior Executive,0
System administrator,0
Blockchain,0
Marketing or sales professional,0
Security professional,0
