job,avgsalary
Data scientist or machine learning specialist,85707
Developer  front-end,118342
Engineer  data,76179
Engineer  site reliability,142468
Developer  full-stack,111338
 Developer  back-end,0
Developer  desktop or enterprise applications,101312
Developer  QA or test,98134
Student,24229
Developer  mobileEducator,0
Engineering manager,137317
Database administrator,88650
Academic researcher,68884
DevOps specialist,103537
Other,91322
Developer  embedded applications or devices,107665
Developer  game or graphics,89582
Project manager,97316
Cloud infrastructure engineer,161680
Data or business analyst,80503
Designer,97973
Scientist,68084
Product manager,89327
Senior Executive,100044
System administrator,114591
Blockchain,101132
Marketing or sales professional,0
Security professional,123979
