job,avgsalary
Data scientist or machine learning specialist,70800
Developer  front-end,59979
Engineer  data,93861
Engineer  site reliability,78000
Developer  full-stack,41700
 Developer  back-end,0
Developer  desktop or enterprise applications,51066
Developer  QA or test,118579
Student,9564
Developer  mobileEducator,0
Engineering manager,0
Database administrator,45522
Academic researcher,9996
DevOps specialist,72000
Other,0
Developer  embedded applications or devices,45504
Developer  game or graphics,0
Project manager,24147
Cloud infrastructure engineer,63318
Data or business analyst,19199
Designer,4896
Scientist,0
Product manager,6516
Senior Executive,38400
System administrator,25355
Blockchain,55734
Marketing or sales professional,0
Security professional,0
