job,avgsalary
Data scientist or machine learning specialist,14400
Developer  front-end,75922
Engineer  data,24200
Engineer  site reliability,58200
Developer  full-stack,71045
 Developer  back-end,0
Developer  desktop or enterprise applications,24820
Developer  QA or test,239940
Student,40920
Developer  mobileEducator,0
Engineering manager,70500
Database administrator,56080
Academic researcher,0
DevOps specialist,197308
Other,0
Developer  embedded applications or devices,45600
Developer  game or graphics,12000
Project manager,219120
Cloud infrastructure engineer,46000
Data or business analyst,25680
Designer,12000
Scientist,0
Product manager,267540
Senior Executive,498000
System administrator,274440
Blockchain,20400
Marketing or sales professional,0
Security professional,0
