job,avgsalary
Data scientist or machine learning specialist,12609
Developer  front-end,14376
Engineer  data,13044
Engineer  site reliability,70669
Developer  full-stack,20251
 Developer  back-end,0
Developer  desktop or enterprise applications,13285
Developer  QA or test,24156
Student,4392
Developer  mobileEducator,0
Engineering manager,10632
Database administrator,13698
Academic researcher,5220
DevOps specialist,19296
Other,476967
Developer  embedded applications or devices,14546
Developer  game or graphics,18264
Project manager,15384
Cloud infrastructure engineer,43512
Data or business analyst,16307
Designer,20415
Scientist,5220
Product manager,18592
Senior Executive,324
System administrator,11493
Blockchain,16308
Marketing or sales professional,7824
Security professional,9948
