job,avgsalary
Data scientist or machine learning specialist,39250
Developer  front-end,38971
Engineer  data,32166
Engineer  site reliability,0
Developer  full-stack,34740
 Developer  back-end,0
Developer  desktop or enterprise applications,21900
Developer  QA or test,18000
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,23400
Academic researcher,50000
DevOps specialist,20100
Other,0
Developer  embedded applications or devices,19600
Developer  game or graphics,0
Project manager,32100
Cloud infrastructure engineer,18000
Data or business analyst,18000
Designer,0
Scientist,50000
Product manager,0
Senior Executive,0
System administrator,26066
Blockchain,28800
Marketing or sales professional,0
Security professional,0
