job,avgsalary
Data scientist or machine learning specialist,35190
Developer  front-end,50951
Engineer  data,75165
Engineer  site reliability,52675
Developer  full-stack,56876
 Developer  back-end,0
Developer  desktop or enterprise applications,55367
Developer  QA or test,48477
Student,43512
Developer  mobileEducator,0
Engineering manager,95693
Database administrator,40852
Academic researcher,30711
DevOps specialist,65033
Other,0
Developer  embedded applications or devices,39842
Developer  game or graphics,45426
Project manager,48624
Cloud infrastructure engineer,80888
Data or business analyst,31992
Designer,30088
Scientist,20472
Product manager,48399
Senior Executive,74651
System administrator,39916
Blockchain,90642
Marketing or sales professional,0
Security professional,58584
