job,avgsalary
Data scientist or machine learning specialist,2748
Developer  front-end,5094
Engineer  data,528
Engineer  site reliability,39954
Developer  full-stack,13696
 Developer  back-end,0
Developer  desktop or enterprise applications,2764
Developer  QA or test,10374
Student,3348
Developer  mobileEducator,0
Engineering manager,19260
Database administrator,12550
Academic researcher,468
DevOps specialist,26270
Other,0
Developer  embedded applications or devices,2760
Developer  game or graphics,2298
Project manager,2772
Cloud infrastructure engineer,39954
Data or business analyst,1500
Designer,14469
Scientist,0
Product manager,0
Senior Executive,0
System administrator,981
Blockchain,36000
Marketing or sales professional,0
Security professional,0
