job,avgsalary
Data scientist or machine learning specialist,100056
Developer  front-end,81273
Engineer  data,67808
Engineer  site reliability,56309
Developer  full-stack,72886
 Developer  back-end,0
Developer  desktop or enterprise applications,142498
Developer  QA or test,63053
Student,36330
Developer  mobileEducator,0
Engineering manager,126373
Database administrator,64161
Academic researcher,90821
DevOps specialist,72643
Other,56469
Developer  embedded applications or devices,169320
Developer  game or graphics,79313
Project manager,69151
Cloud infrastructure engineer,74113
Data or business analyst,55498
Designer,56313
Scientist,166683
Product manager,162002
Senior Executive,88994
System administrator,65825
Blockchain,281540
Marketing or sales professional,37325
Security professional,79599
