job,avgsalary
Data scientist or machine learning specialist,116187
Developer  front-end,97572
Engineer  data,119015
Engineer  site reliability,78312
Developer  full-stack,89112
 Developer  back-end,0
Developer  desktop or enterprise applications,95299
Developer  QA or test,94932
Student,45698
Developer  mobileEducator,0
Engineering manager,125152
Database administrator,105430
Academic researcher,82966
DevOps specialist,78687
Other,87606
Developer  embedded applications or devices,93306
Developer  game or graphics,79274
Project manager,100999
Cloud infrastructure engineer,96847
Data or business analyst,179183
Designer,60432
Scientist,60444
Product manager,95385
Senior Executive,156662
System administrator,77440
Blockchain,217002
Marketing or sales professional,63452
Security professional,98268
