job,avgsalary
Data scientist or machine learning specialist,33288
Developer  front-end,38612
Engineer  data,33288
Engineer  site reliability,90822
Developer  full-stack,34737
 Developer  back-end,0
Developer  desktop or enterprise applications,45058
Developer  QA or test,33666
Student,4164
Developer  mobileEducator,0
Engineering manager,71319
Database administrator,34376
Academic researcher,53813
DevOps specialist,78883
Other,0
Developer  embedded applications or devices,16412
Developer  game or graphics,84000
Project manager,55833
Cloud infrastructure engineer,59882
Data or business analyst,17688
Designer,6240
Scientist,32065
Product manager,62444
Senior Executive,40704
System administrator,45128
Blockchain,60821
Marketing or sales professional,48000
Security professional,40704
