job,avgsalary
Data scientist or machine learning specialist,135381
Developer  front-end,114357
Engineer  data,141953
Engineer  site reliability,119053
Developer  full-stack,108559
 Developer  back-end,0
Developer  desktop or enterprise applications,113360
Developer  QA or test,106327
Student,43673
Developer  mobileEducator,0
Engineering manager,124248
Database administrator,109083
Academic researcher,103738
DevOps specialist,123838
Other,131385
Developer  embedded applications or devices,111420
Developer  game or graphics,96121
Project manager,121431
Cloud infrastructure engineer,137326
Data or business analyst,111012
Designer,114141
Scientist,110859
Product manager,129210
Senior Executive,147625
System administrator,102547
Blockchain,278245
Marketing or sales professional,147657
Security professional,121836
