job,avgsalary
Data scientist or machine learning specialist,5112
Developer  front-end,19657
Engineer  data,2340
Engineer  site reliability,0
Developer  full-stack,10552
 Developer  back-end,0
Developer  desktop or enterprise applications,14412
Developer  QA or test,0
Student,6564
Developer  mobileEducator,0
Engineering manager,0
Database administrator,11445
Academic researcher,5112
DevOps specialist,0
Other,2340
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,7872
Cloud infrastructure engineer,30864
Data or business analyst,7381
Designer,12541
Scientist,5112
Product manager,12348
Senior Executive,0
System administrator,0
Blockchain,30864
Marketing or sales professional,0
Security professional,2340
