job,avgsalary
Data scientist or machine learning specialist,64545
Developer  front-end,47956
Engineer  data,60124
Engineer  site reliability,67356
Developer  full-stack,66477
 Developer  back-end,0
Developer  desktop or enterprise applications,55316
Developer  QA or test,30965
Student,24920
Developer  mobileEducator,0
Engineering manager,81228
Database administrator,78190
Academic researcher,35912
DevOps specialist,84247
Other,44017
Developer  embedded applications or devices,44166
Developer  game or graphics,46816
Project manager,41164
Cloud infrastructure engineer,65386
Data or business analyst,40215
Designer,64435
Scientist,78686
Product manager,59057
Senior Executive,71983
System administrator,71832
Blockchain,111176
Marketing or sales professional,34126
Security professional,70171
