job,avgsalary
Data scientist or machine learning specialist,33228
Developer  front-end,41632
Engineer  data,15246
Engineer  site reliability,67000
Developer  full-stack,41201
 Developer  back-end,0
Developer  desktop or enterprise applications,28405
Developer  QA or test,58638
Student,18372
Developer  mobileEducator,0
Engineering manager,0
Database administrator,34009
Academic researcher,28926
DevOps specialist,76393
Other,31272
Developer  embedded applications or devices,37527
Developer  game or graphics,13725
Project manager,33226
Cloud infrastructure engineer,36894
Data or business analyst,10944
Designer,39089
Scientist,0
Product manager,4692
Senior Executive,19548
System administrator,33696
Blockchain,39744
Marketing or sales professional,78180
Security professional,10944
