job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,21510
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,11652
 Developer  back-end,0
Developer  desktop or enterprise applications,13392
Developer  QA or test,28680
Student,7226
Developer  mobileEducator,0
Engineering manager,0
Database administrator,17953
Academic researcher,0
DevOps specialist,28680
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,28680
Data or business analyst,0
Designer,10783
Scientist,0
Product manager,0
Senior Executive,0
System administrator,28680
Blockchain,0
Marketing or sales professional,0
Security professional,0
