job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,28884
Engineer  data,0
Engineer  site reliability,42000
Developer  full-stack,30373
 Developer  back-end,0
Developer  desktop or enterprise applications,8796
Developer  QA or test,48210
Student,0
Developer  mobileEducator,0
Engineering manager,72000
Database administrator,17544
Academic researcher,0
DevOps specialist,24000
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,24000
Data or business analyst,24420
Designer,0
Scientist,0
Product manager,8796
Senior Executive,0
System administrator,7812
Blockchain,0
Marketing or sales professional,0
Security professional,0
