job,avgsalary
Data scientist or machine learning specialist,108268
Developer  front-end,69048
Engineer  data,48940
Engineer  site reliability,90491
Developer  full-stack,60717
 Developer  back-end,0
Developer  desktop or enterprise applications,85045
Developer  QA or test,67296
Student,0
Developer  mobileEducator,0
Engineering manager,85650
Database administrator,91446
Academic researcher,116295
DevOps specialist,63745
Other,206893
Developer  embedded applications or devices,76472
Developer  game or graphics,42828
Project manager,193050
Cloud infrastructure engineer,78641
Data or business analyst,127605
Designer,91764
Scientist,106735
Product manager,45888
Senior Executive,0
System administrator,98598
Blockchain,71875
Marketing or sales professional,0
Security professional,0
