job,avgsalary
Data scientist or machine learning specialist,116503
Developer  front-end,52822
Engineer  data,64897
Engineer  site reliability,40536
Developer  full-stack,47171
 Developer  back-end,0
Developer  desktop or enterprise applications,43578
Developer  QA or test,40165
Student,16740
Developer  mobileEducator,0
Engineering manager,56931
Database administrator,36791
Academic researcher,146612
DevOps specialist,37170
Other,87156
Developer  embedded applications or devices,123494
Developer  game or graphics,118813
Project manager,39094
Cloud infrastructure engineer,42065
Data or business analyst,33126
Designer,25832
Scientist,214840
Product manager,35345
Senior Executive,46465
System administrator,28212
Blockchain,215276
Marketing or sales professional,0
Security professional,150776
