job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,92313
Engineer  data,0
Engineer  site reliability,95976
Developer  full-stack,110425
 Developer  back-end,0
Developer  desktop or enterprise applications,145236
Developer  QA or test,91916
Student,0
Developer  mobileEducator,0
Engineering manager,91918
Database administrator,91004
Academic researcher,0
DevOps specialist,125818
Other,0
Developer  embedded applications or devices,99280
Developer  game or graphics,0
Project manager,122554
Cloud infrastructure engineer,93946
Data or business analyst,99280
Designer,134663
Scientist,0
Product manager,108544
Senior Executive,91918
System administrator,99280
Blockchain,0
Marketing or sales professional,0
Security professional,114718
