job,avgsalary
Data scientist or machine learning specialist,72330
Developer  front-end,38313
Engineer  data,64386
Engineer  site reliability,62843
Developer  full-stack,46220
 Developer  back-end,0
Developer  desktop or enterprise applications,53761
Developer  QA or test,46397
Student,51428
Developer  mobileEducator,0
Engineering manager,123181
Database administrator,56545
Academic researcher,110411
DevOps specialist,48789
Other,44249
Developer  embedded applications or devices,77986
Developer  game or graphics,34231
Project manager,73550
Cloud infrastructure engineer,96086
Data or business analyst,58811
Designer,43800
Scientist,28504
Product manager,49404
Senior Executive,150418
System administrator,38978
Blockchain,79521
Marketing or sales professional,48194
Security professional,34161
