job,avgsalary
Data scientist or machine learning specialist,19357
Developer  front-end,19241
Engineer  data,24230
Engineer  site reliability,8919
Developer  full-stack,25589
 Developer  back-end,0
Developer  desktop or enterprise applications,20470
Developer  QA or test,15378
Student,9682
Developer  mobileEducator,0
Engineering manager,28874
Database administrator,15338
Academic researcher,4273
DevOps specialist,59670
Other,46421
Developer  embedded applications or devices,27101
Developer  game or graphics,2766
Project manager,84402
Cloud infrastructure engineer,26053
Data or business analyst,27450
Designer,23033
Scientist,6178
Product manager,35619
Senior Executive,23059
System administrator,23665
Blockchain,109104
Marketing or sales professional,3072
Security professional,0
