job,avgsalary
Data scientist or machine learning specialist,38139
Developer  front-end,44658
Engineer  data,58814
Engineer  site reliability,45761
Developer  full-stack,58205
 Developer  back-end,0
Developer  desktop or enterprise applications,93085
Developer  QA or test,48380
Student,37971
Developer  mobileEducator,0
Engineering manager,53091
Database administrator,35214
Academic researcher,50573
DevOps specialist,37221
Other,37743
Developer  embedded applications or devices,64774
Developer  game or graphics,33527
Project manager,106120
Cloud infrastructure engineer,58621
Data or business analyst,61891
Designer,39087
Scientist,45401
Product manager,126130
Senior Executive,180120
System administrator,53667
Blockchain,54824
Marketing or sales professional,141828
Security professional,53380
