job,avgsalary
Data scientist or machine learning specialist,7408
Developer  front-end,16398
Engineer  data,4116
Engineer  site reliability,0
Developer  full-stack,23536
 Developer  back-end,0
Developer  desktop or enterprise applications,24660
Developer  QA or test,0
Student,7200
Developer  mobileEducator,0
Engineering manager,0
Database administrator,18832
Academic researcher,11769
DevOps specialist,16236
Other,49332
Developer  embedded applications or devices,17676
Developer  game or graphics,0
Project manager,18000
Cloud infrastructure engineer,0
Data or business analyst,30012
Designer,0
Scientist,12336
Product manager,0
Senior Executive,0
System administrator,18824
Blockchain,0
Marketing or sales professional,0
Security professional,24
