job,avgsalary
Data scientist or machine learning specialist,103396
Developer  front-end,381123
Engineer  data,296039
Engineer  site reliability,126372
Developer  full-stack,242784
 Developer  back-end,0
Developer  desktop or enterprise applications,217194
Developer  QA or test,229910
Student,24673
Developer  mobileEducator,0
Engineering manager,285937
Database administrator,210792
Academic researcher,46836
DevOps specialist,347521
Other,401726
Developer  embedded applications or devices,645193
Developer  game or graphics,86012
Project manager,573590
Cloud infrastructure engineer,136537
Data or business analyst,168852
Designer,87120
Scientist,50123
Product manager,111620
Senior Executive,53402
System administrator,237991
Blockchain,149301
Marketing or sales professional,1070170
Security professional,239682
